tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2880,-0.1141,-0.2009,3.005,insect,1.000,5.19,1,1,1,0,38.00,3,3.1,6,6,6
1,0.2920,-0.1145,-0.0051,2.899,good,0.000,2.57,0,0,0,0,34.40,3,0.0,,,
2,0.2960,-0.1154,-0.0878,2.997,good,0.001,2.20,0,0,0,0,34.78,3,0.0,,,
9,0.2960,-0.1189,-0.0452,2.994,good,0.032,4.66,0,0,0,0,35.94,2,0.0,,,
10,0.2960,-0.1182,0.0487,2.993,broken,0.967,2.92,1,1,1,0,35.68,2,2.4,38,10,10
11,0.2960,-0.1179,0.0705,2.994,good,0.000,2.82,0,0,0,0,35.50,2,0.0,,,
12,0.2960,-0.1167,0.0885,3.006,good,0.000,2.37,0,0,0,0,34.75,2,0.0,,,
3,0.3000,-0.1145,-0.1017,2.995,good,0.001,1.65,0,0,0,0,36.38,3,0.0,,,
4,0.3000,-0.1152,0.0830,3.006,good,0.000,3.45,0,0,0,0,36.26,3,0.0,,,
5,0.3000,-0.1132,0.0678,2.996,good,0.000,8.24,0,0,0,0,35.80,3,0.0,,,
6,0.3000,-0.1118,-0.0018,3.011,good,0.000,4.99,0,0,0,0,34.93,3,0.0,,,
7,0.3000,-0.1124,0.1079,3.116,good,0.000,2.53,0,0,0,0,32.74,3,0.0,,,
8,0.3000,-0.1093,0.2364,2.999,good,0.001,3.45,0,0,0,0,34.33,3,0.0,,,
15,0.3000,-0.1195,-0.1244,3.003,sour,1.000,16.90,1,1,1,0,37.60,2,3.2,16|15,5,5
13,0.3040,-0.1123,0.0209,3.025,good,0.344,2.53,0,0,0,0,42.59,3,0.0,,,
14,0.3040,-0.1099,0.1209,3.104,good,0.001,6.44,0,0,0,0,39.99,3,0.0,,,
19,0.3040,-0.1172,-0.2365,3.235,good,0.000,1.72,0,0,0,0,39.47,2,0.0,,,
20,0.3040,-0.1190,0.2055,2.983,good,0.006,2.75,0,0,0,0,45.68,2,0.0,,,
21,0.3040,-0.1192,0.1546,2.997,good,0.000,2.78,0,0,0,0,45.40,2,0.0,,,
