tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2920,-0.1093,0.0458,3.416,good,0.003,3.09,0,0,0,0,1.27,3,0.0,,,
1,0.3000,-0.1405,0.1263,3.000,good,0.003,2.75,0,0,0,0,12.18,1,0.0,,,
2,0.3000,-0.1110,-0.0815,3.003,good,0.012,2.93,0,0,0,0,10.26,3,0.0,,,
4,0.3000,-0.1188,0.1221,2.961,good,0.001,5.95,0,0,0,0,13.87,2,0.0,,,
5,0.3000,-0.1149,-0.0667,3.100,good,0.000,2.46,0,0,0,0,9.32,2,0.0,,,
6,0.3000,-0.1168,0.1451,2.971,sour,1.000,18.31,1,1,1,0,12.97,2,3.2,50,2,
3,0.3040,-0.1086,0.2144,3.159,good,0.000,2.65,0,0,0,0,6.05,3,0.0,,,
9,0.3040,-0.1189,0.1355,3.001,good,0.000,2.44,0,0,0,0,12.94,2,0.0,,,
7,0.3080,-0.1143,-0.0990,3.008,shell,0.664,9.62,1,1,1,0,11.24,3,2.4,19,11,
8,0.3080,-0.1138,0.1052,2.980,good,0.000,1.51,0,0,0,0,11.74,3,0.0,,,
12,0.3080,-0.1187,-0.0401,3.006,good,0.335,3.35,0,0,0,0,12.75,2,0.0,,,
10,0.3120,-0.1128,-0.1148,2.982,good,0.001,1.50,0,0,0,0,11.36,3,0.0,,,
11,0.3120,-0.1105,0.2088,3.031,good,0.001,2.48,0,0,0,0,9.44,3,0.0,,,
16,0.3120,-0.1170,-0.1657,2.996,good,0.001,1.61,0,0,0,0,12.44,2,0.0,,,
17,0.3120,-0.1174,0.2376,2.989,good,0.041,7.25,0,0,0,0,12.75,2,0.0,,,
13,0.3160,-0.1156,0.2335,2.996,good,0.031,5.60,0,0,0,0,11.96,3,0.0,,,
14,0.3160,-0.1134,0.1730,3.008,good,0.000,2.27,0,0,0,0,10.95,3,0.0,,,
15,0.3160,-0.1093,-0.1029,3.061,good,0.001,2.91,0,0,0,0,8.37,3,0.0,,,
20,0.3160,-0.1178,-0.1415,3.077,good,0.002,2.98,0,0,0,0,10.81,2,0.0,,,
21,0.3160,-0.1164,-0.0163,3.005,good,0.008,2.39,0,0,0,0,12.01,2,0.0,,,
18,0.3200,-0.1122,0.0969,2.999,good,0.000,3.11,0,0,0,0,10.75,3,0.0,,,
19,0.3200,-0.1095,0.1161,3.001,good,0.000,1.93,0,0,0,0,9.82,3,0.0,,,
23,0.3200,-0.1159,-0.1887,2.918,good,0.003,3.11,0,0,0,0,13.98,2,0.0,,,
22,0.3240,-0.1135,0.1479,2.947,good,0.000,2.99,0,0,0,0,12.45,3,0.0,,,
25,0.3240,-0.1177,0.1856,2.995,good,0.000,2.96,0,0,0,0,12.69,2,0.0,,,
26,0.3240,-0.1158,-0.0733,3.000,faded,1.000,4.35,1,1,1,0,11.95,2,3.2,22,28,
24,0.3280,-0.1140,0.0364,3.001,good,0.004,4.59,0,0,0,0,11.30,3,0.0,,,
27,0.3280,-0.1182,0.1048,3.209,good,0.005,17.13,0,0,0,0,7.99,2,0.0,,,
28,0.3280,-0.1166,-0.0591,2.965,good,0.001,3.03,0,0,0,0,13.04,2,0.0,,,
30,0.3320,-0.1181,-0.0303,3.001,good,0.000,2.65,0,0,0,0,12.67,2,0.0,,,
31,0.3320,-0.1176,-0.0147,3.016,good,0.000,3.02,0,0,0,0,12.15,2,0.0,,,
32,0.3320,-0.1160,-0.1738,3.004,good,0.000,2.70,0,0,0,0,11.91,2,0.0,,,
29,0.3360,-0.1091,0.1285,2.998,good,0.000,2.13,0,0,0,0,9.73,3,0.0,,,
34,0.3360,-0.1302,0.1941,3.000,good,0.001,2.89,0,0,0,0,12.74,1,0.0,,,
40,0.3360,-0.1174,0.1983,3.000,good,0.001,2.84,0,0,0,0,12.46,1,0.0,,,
33,0.3400,-0.1123,0.0960,2.981,good,0.000,2.73,0,0,0,0,11.23,3,0.0,,,
