tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2920,-0.1124,0.0477,3.000,good,0.000,2.36,0,0,0,0,10.81,3,0.0,,,
1,0.2960,-0.1107,0.1585,2.995,good,0.002,2.92,0,0,0,0,10.35,3,0.0,,,
4,0.2960,-0.1157,-0.0692,2.989,good,0.000,2.29,0,0,0,0,12.17,2,0.0,,,
2,0.3000,-0.1120,-0.0838,3.053,good,0.000,3.16,0,0,0,0,9.44,3,0.0,,,
3,0.3000,-0.1089,0.1520,3.001,good,0.003,2.45,0,0,0,0,9.62,3,0.0,,,
5,0.3000,-0.1174,0.1152,3.101,quaker,1.000,36.11,1,1,1,0,10.12,2,2.4,46,2,
6,0.3080,-0.1107,0.1072,2.985,good,0.000,1.62,0,0,0,0,10.59,3,0.0,,,
7,0.3080,-0.1091,0.1498,3.056,good,0.000,2.88,0,0,0,0,8.42,3,0.0,,,
11,0.3080,-0.1189,-0.0394,3.004,good,0.000,3.30,0,0,0,0,12.88,2,0.0,,,
12,0.3080,-0.1161,0.2186,3.015,good,0.000,2.00,0,0,0,0,11.69,2,0.0,,,
13,0.3080,-0.1160,-0.1009,3.002,good,0.000,2.38,0,0,0,0,11.97,2,0.0,,,
8,0.3120,-0.1154,-0.1635,3.001,good,0.001,1.62,0,0,0,0,11.77,3,0.0,,,
9,0.3120,-0.1139,0.2049,2.998,good,0.000,2.45,0,0,0,0,11.35,3,0.0,,,
10,0.3120,-0.1097,0.2289,2.994,good,0.012,3.92,0,0,0,0,10.04,3,0.0,,,
16,0.3120,-0.1183,0.2310,3.018,good,0.001,11.70,0,0,0,0,12.33,2,0.0,,,
14,0.3160,-0.1140,0.1722,3.000,good,0.003,1.79,0,0,0,0,11.33,3,0.0,,,
15,0.3160,-0.1083,-0.1216,3.036,good,0.001,2.50,0,0,0,0,8.59,3,0.0,,,
19,0.3160,-0.1199,-0.1330,2.949,good,0.004,6.67,0,0,0,0,14.56,2,0.0,,,
21,0.3160,-0.1168,-0.0165,3.001,good,0.000,2.21,0,0,0,0,12.23,2,0.0,,,
17,0.3200,-0.1134,0.0881,3.008,good,0.016,3.66,0,0,0,0,10.96,3,0.0,,,
18,0.3200,-0.1119,-0.1950,2.982,good,0.000,2.95,0,0,0,0,11.05,3,0.0,,,
20,0.3200,-0.1107,0.1162,2.998,good,0.000,2.02,0,0,0,0,10.27,3,0.0,,,
22,0.3240,-0.1139,0.1833,2.996,good,0.001,2.62,0,0,0,0,11.40,3,0.0,,,
24,0.3240,-0.1188,0.1021,2.998,good,0.000,2.05,0,0,0,0,13.00,2,0.0,,,
25,0.3240,-0.1161,-0.0718,3.015,good,0.000,2.04,0,0,0,0,11.66,2,0.0,,,
26,0.3240,-0.1164,0.1502,2.946,good,0.004,3.24,0,0,0,0,13.45,2,0.0,,,
23,0.3280,-0.1099,-0.0618,3.081,good,0.001,5.93,0,0,0,0,8.14,3,0.0,,,
28,0.3280,-0.1151,0.0368,3.022,good,0.002,4.09,0,0,0,0,11.19,2,0.0,,,
27,0.3320,-0.1098,-0.0252,2.997,good,0.000,3.62,0,0,0,0,10.03,3,0.0,,,
30,0.3320,-0.1191,-0.1755,2.999,good,0.000,2.81,0,0,0,0,13.07,2,0.0,,,
31,0.3320,-0.1274,-0.2090,3.000,stone,1.000,20.12,1,1,1,0,11.81,1,8.0,5|4|6,,
32,0.3320,-0.1150,0.1278,3.206,good,0.026,6.30,0,0,0,0,7.07,2,0.0,,,
37,0.3320,-0.1051,-0.2105,3.000,stone,1.000,20.07,1,1,1,0,8.36,1,8.0,5|4|6,97,
29,0.3360,-0.1135,-0.0039,3.045,good,0.001,2.55,0,0,0,0,10.13,3,0.0,,,
35,0.3360,-0.1189,-0.0229,2.866,good,0.000,2.36,0,0,0,0,16.37,2,0.0,,,
36,0.3360,-0.1176,0.1339,3.005,good,0.003,2.23,0,0,0,0,12.42,2,0.0,,,
33,0.3400,-0.1096,-0.1344,3.017,good,0.489,3.34,0,0,0,0,9.47,3,0.0,,,
34,0.3400,-0.1084,0.0984,2.996,good,0.000,2.80,0,0,0,0,9.55,3,0.0,,,
40,0.3400,-0.1194,0.0540,3.005,good,0.000,2.61,0,0,0,0,13.02,2,0.0,,,
38,0.3440,-0.1107,-0.0836,2.999,good,0.000,2.75,0,0,0,0,10.27,3,0.0,,,
39,0.3440,-0.1083,0.0907,3.085,good,0.000,2.56,0,0,0,0,7.52,3,0.0,,,
42,0.3440,-0.1176,-0.1879,2.996,good,0.000,2.93,0,0,0,0,12.65,2,0.0,,,
43,0.3440,-0.1176,-0.1331,3.002,good,0.054,2.85,0,0,0,0,12.46,2,0.0,,,
44,0.3440,-0.1184,-0.0206,2.974,good,0.000,3.50,0,0,0,0,13.44,2,0.0,,,
45,0.3440,-0.1163,-0.1660,3.013,good,0.000,2.39,0,0,0,0,11.77,2,0.0,,,
41,0.3480,-0.1144,-0.0994,3.005,good,0.000,2.10,0,0,0,0,11.36,3,0.0,,,
49,0.3480,-0.1200,0.1607,3.001,good,0.000,2.49,0,0,0,0,13.30,2,0.0,,,
46,0.3520,-0.1158,0.0088,2.899,good,0.001,3.29,0,0,0,0,14.44,3,0.0,,,
47,0.3520,-0.1128,0.2010,3.016,good,0.001,2.42,0,0,0,0,10.55,3,0.0,,,
48,0.3520,-0.1106,-0.2103,2.674,good,0.000,2.86,0,0,0,0,18.77,3,0.0,,,
54,0.3520,-0.1158,0.1901,3.141,good,0.000,2.96,0,0,0,0,8.71,2,0.0,,,
50,0.3560,-0.1136,0.0154,3.034,good,0.000,4.11,0,0,0,0,10.39,3,0.0,,,
51,0.3560,-0.1077,0.2030,3.450,good,0.005,18.93,1,1,1,0,0.19,3,9.0,57|58|56,48|49|69,48|69
52,0.3560,-0.1118,0.0979,3.032,good,0.012,2.90,0,0,0,0,9.88,3,0.0,,,
53,0.3560,-0.1082,0.1355,2.988,burnt,1.000,12.57,1,1,1,0,9.67,3,2.4,49,61,61
57,0.3560,-0.1159,0.1614,3.086,good,0.000,3.01,0,0,0,0,9.96,2,0.0,,,
55,0.3600,-0.1121,-0.0488,2.994,good,0.000,3.55,0,0,0,0,10.85,3,0.0,,,
56,0.3600,-0.1083,-0.2110,3.000,good,0.001,2.07,0,0,0,0,9.43,3,0.0,,,
60,0.3600,-0.1169,0.1372,2.999,good,0.000,3.16,0,0,0,0,12.34,2,0.0,,,
61,0.3600,-0.1157,0.1134,3.177,good,0.012,2.07,0,0,0,0,7.92,2,0.0,,,
65,0.3600,-0.1130,-0.2246,3.000,broken,0.896,8.84,1,1,1,0,11.01,1,2.4,3,76,
66,0.3600,-0.1008,0.2068,3.000,good,0.000,2.00,0,0,0,0,6.94,1,0.0,,,
58,0.3640,-0.1128,0.0496,2.988,good,0.000,3.32,0,0,0,0,11.20,3,0.0,,,
