label,source,effective_rate_beans_per_s,input_kg_h,accepted_kg_h,defect_rejected_kg_h,good_rejected_kg_h,good_spilled_kg_h,good_unresolved_kg_h,defect_spilled_kg_h,defect_unresolved_kg_h,uplift_eur_h,zero_premium_eur_h,break_even_accepted_stream_premium_eur_per_kg,incoming_defect_count_percent,residual_accepted_defect_count_percent
base-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/base-1000/metrics.json,1000.0000000000686,576.0000000000394,502.8923076923421,40.541538461541236,20.381538461539858,2.215384615384767,0.0,9.969230769231451,0.0,-187.20000000001255,-438.64615384618355,0.8722466960352425,14.461538461538462,6.5198237885462555
belt-jitter-5pct-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/belt-jitter-5pct-1000/metrics.json,1000.0000000000686,576.0000000000394,517.0707692308047,38.990769230771896,12.84923076923165,1.3292307692308603,0.0,5.538461538461918,0.2215384615384767,-95.04000000000633,-353.57538461540844,0.683804627249357,14.461538461538462,7.455012853470437
brightness-minus30-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/brightness-minus30-1000/metrics.json,1000.0000000000686,576.0000000000394,416.93538461541317,29.021538461540448,112.32000000000768,7.089230769231254,0.2215384615384767,10.412307692308405,0.0,-745.920000000051,-954.3876923077573,2.2890541976620615,14.461538461538462,10.520722635494154
brightness-plus30-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/brightness-plus30-1000/metrics.json,1000.0000000000686,576.0000000000394,434.4369230769528,39.65538461538733,85.95692307692896,6.203076923077347,0.0,9.747692307692974,0.0,-632.1600000000435,-849.3784615385198,1.9551249362570127,14.461538461538462,7.802141764405915
exposure-nominal-100us-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/exposure-nominal-100us-1000/metrics.json,1000.0000000000686,576.0000000000394,493.80923076926456,40.763076923079716,29.4646153846174,2.6584615384617205,0.4430769230769534,8.861538461539068,0.0,-246.24000000001706,-493.1446153846491,0.998654104979812,14.461538461538462,6.819201435621355
exposure-stress-500us-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/exposure-stress-500us-1000/metrics.json,1000.0000000000686,576.0000000000394,445.7353846154151,37.218461538464084,77.76000000000532,4.430769230769534,0.0,10.855384615385358,0.0,-558.7200000000385,-781.5876923077458,1.7534791252485094,14.461538461538462,7.90258449304175
gradient-30-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/gradient-30-1000/metrics.json,1000.0000000000686,576.0000000000394,480.51692307695595,35.66769230769475,44.30769230769534,5.0953846153849645,0.0,10.412307692308405,0.0,-332.6400000000226,-572.8984615385007,1.1922544951590601,14.461538461538462,7.745504840940526
noise-nominal-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/noise-nominal-1000/metrics.json,1000.0000000000686,576.0000000000394,488.27076923080267,44.08615384615686,31.680000000002167,1.5507692307693368,0.0,10.412307692308405,0.0,-282.2400000000189,-526.3753846154204,1.0780399274047188,14.461538461538462,5.898366606170599
noise-stress-1000: requested 1000; effective 1000 beans/s,runs/sensor-realism/noise-stress-1000/metrics.json,1000.0000000000686,576.0000000000394,472.7630769231093,42.53538461538753,48.295384615387924,3.3230769230771506,0.0,9.083076923077545,0.0,-383.04000000002634,-619.4215384615809,1.3102155576382384,14.461538461538462,6.701030927835052
touching-3000: requested 3000; effective 1192.81 beans/s,runs/sensor-realism/touching-3000/metrics.json,1192.8125000000816,687.0600000000472,578.4837335050286,39.58279369166671,56.38889604120118,3.0958609591247703,0.2211329256517693,9.066449951722541,0.2211329256517693,-362.21573221759763,-651.457598970112,1.126146788990825,14.612166076601223,8.906727828746178
combined-assumed-worst-3000: requested 3000; effective 1201.25 beans/s,runs/sensor-realism/combined-assumed-worst-3000/metrics.json,1201.2500000000823,691.9200000000474,502.6128061224834,31.551198979593995,144.29709183674456,3.5302040816328946,0.4412755102041118,9.487423469388403,0.0,-884.536760204142,-1135.8431632653837,2.259877085162423,14.540816326530612,11.852502194907814
high-feed-reference-3000: requested 3000; effective 3000 beans/s,runs/sensor-realism/high-feed-reference-3000/metrics.json,3000.0000000002055,1728.0000000001187,1417.181538461636,103.68000000000713,124.94769230770089,42.092307692310584,2.2153846153847674,37.2184615384641,0.6646153846154302,-1156.3200000000797,-1864.9107692308971,1.3159293418790052,15.461538461538462,8.86352977958418
