tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.004,good,0.001,2.15,0,0,0,0,13.13,2,0.0,,,
2,0.2920,-0.1190,-0.0419,2.997,good,0.001,3.16,0,0,0,0,13.05,2,0.0,,,
0,0.2960,-0.1102,0.1076,3.042,good,0.000,3.27,0,0,0,0,9.10,3,0.0,,,
3,0.3000,-0.1110,0.2123,3.006,good,0.000,2.97,0,0,0,0,10.18,3,0.0,,,
4,0.3000,-0.1175,-0.1033,2.998,good,0.000,1.92,0,0,0,0,12.56,2,0.0,,,
6,0.3040,-0.1147,-0.2308,2.993,good,0.000,2.75,0,0,0,0,11.76,2,0.0,,,
5,0.3080,-0.1083,0.0027,2.992,good,0.000,6.09,0,0,0,0,9.63,3,0.0,,,
9,0.3080,-0.1153,-0.1030,3.006,insect,1.000,4.18,1,1,1,0,11.62,2,3.1,18|19,13,13
10,0.3080,-0.1162,0.2278,3.016,good,0.000,1.84,0,0,0,0,11.66,2,0.0,,,
7,0.3120,-0.1141,-0.1802,3.007,broken,0.998,3.34,1,1,1,0,11.22,3,2.4,8|9,15,
8,0.3120,-0.1129,-0.0180,2.973,good,0.241,6.20,0,0,0,0,11.61,3,0.0,,,
11,0.3120,-0.1189,0.1962,2.982,good,0.000,2.81,0,0,0,0,13.41,2,0.0,,,
12,0.3120,-0.1173,0.1405,2.992,good,0.001,1.82,0,0,0,0,12.61,2,0.0,,,
13,0.3120,-0.1178,-0.0357,3.001,good,0.000,2.91,0,0,0,0,12.57,2,0.0,,,
16,0.3160,-0.1196,-0.0454,2.997,good,0.000,4.01,0,0,0,0,13.27,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.000,2.80,0,0,0,0,10.57,3,0.0,,,
15,0.3200,-0.1108,-0.1365,2.987,good,0.007,3.75,0,0,0,0,10.58,3,0.0,,,
20,0.3200,-0.1181,-0.2234,3.010,sour,1.000,20.22,1,1,1,0,12.45,2,3.2,3,29,29
21,0.3200,-0.1162,-0.1115,2.999,good,0.001,2.12,0,0,0,0,12.08,2,0.0,,,
22,0.3200,-0.1240,0.1837,3.000,good,0.000,7.66,0,0,0,0,10.65,1,0.0,,,
26,0.3200,-0.1138,0.1800,3.000,good,0.000,2.11,0,0,0,0,11.28,1,0.0,,,
27,0.3200,-0.1090,0.1871,3.000,good,0.001,2.06,0,0,0,0,9.66,1,0.0,,,
17,0.3240,-0.1104,-0.1579,3.003,good,0.012,3.21,0,0,0,0,10.07,3,0.0,,,
18,0.3240,-0.1095,0.1182,3.004,good,0.000,1.79,0,0,0,0,9.73,3,0.0,,,
19,0.3240,-0.1087,0.2154,3.012,good,0.000,4.99,0,0,0,0,9.30,3,0.0,,,
24,0.3240,-0.1196,-0.2033,3.094,good,0.000,3.76,0,0,0,0,10.97,2,0.0,,,
25,0.3240,-0.1166,0.2000,2.991,good,0.000,1.64,0,0,0,0,12.40,2,0.0,,,
23,0.3280,-0.1103,0.1844,2.982,good,0.006,2.12,0,0,0,0,10.54,3,0.0,,,
33,0.3280,-0.1199,0.0645,2.996,insect,1.000,4.15,1,1,1,0,13.39,2,3.1,40,42,42
28,0.3320,-0.1158,-0.1459,3.001,good,0.000,5.11,0,0,0,0,11.91,3,0.0,,,
29,0.3320,-0.1146,-0.2387,3.005,good,0.000,2.11,0,0,0,0,11.42,3,0.0,,,
30,0.3320,-0.1150,0.1525,2.943,good,0.000,3.07,0,0,0,0,13.06,3,0.0,,,
31,0.3320,-0.1116,0.0160,3.000,good,0.003,2.44,0,0,0,0,10.54,3,0.0,,,
32,0.3320,-0.1105,-0.0750,3.000,good,0.001,2.82,0,0,0,0,10.17,3,0.0,,,
34,0.3360,-0.1085,0.0661,2.997,broken,0.999,2.26,1,1,1,0,9.56,3,2.4,40,27,27
40,0.3360,-0.1192,-0.0275,2.992,good,0.000,4.32,0,0,0,0,13.28,2,0.0,,,
41,0.3360,-0.1170,-0.0879,3.000,good,0.001,7.97,0,0,0,0,12.33,2,0.0,,,
35,0.3400,-0.1138,-0.1192,2.998,good,0.000,2.60,0,0,0,0,11.33,3,0.0,,,
36,0.3400,-0.1134,-0.0608,3.000,good,0.000,5.59,0,0,0,0,11.14,3,0.0,,,
37,0.3400,-0.1144,0.1282,2.999,shell,1.000,7.53,1,1,1,0,11.48,3,2.4,48,56,56
38,0.3400,-0.1116,-0.1953,3.007,good,0.000,2.53,0,0,0,0,10.36,3,0.0,,,
39,0.3400,-0.1098,-0.0111,3.004,good,0.000,2.74,0,0,0,0,9.85,3,0.0,,,
44,0.3400,-0.1188,-0.0215,3.000,good,0.001,2.98,0,0,0,0,12.95,2,0.0,,,
45,0.3400,-0.1169,-0.1733,2.989,good,0.001,2.77,0,0,0,0,12.59,2,0.0,,,
42,0.3440,-0.1128,-0.1417,3.001,sour,1.000,16.55,1,1,1,0,10.91,3,3.2,13|14,44,44
43,0.3440,-0.1119,-0.0341,3.004,good,0.006,4.67,0,0,0,0,10.51,3,0.0,,,
46,0.3440,-0.1169,0.1081,3.022,good,0.000,2.05,0,0,0,0,11.77,2,0.0,,,
47,0.3440,-0.1164,-0.2407,3.000,good,0.001,5.10,0,0,0,0,12.13,2,0.0,,,
48,0.3440,-0.1156,0.1602,2.995,good,0.000,3.93,0,0,0,0,12.00,2,0.0,,,
53,0.3480,-0.1177,0.0017,2.996,good,0.279,3.12,0,0,0,0,12.66,2,0.0,,,
54,0.3480,-0.1147,0.1235,3.019,good,0.000,2.15,0,0,0,0,11.12,2,0.0,,,
49,0.3520,-0.1128,0.1947,2.997,black,1.000,50.55,1,1,1,0,10.99,3,3.2,56|57,58,58
50,0.3520,-0.1126,0.0680,2.986,good,0.000,2.82,0,0,0,0,11.19,3,0.0,,,
51,0.3520,-0.1102,-0.2009,3.001,good,0.034,2.21,0,0,0,0,10.05,3,0.0,,,
52,0.3520,-0.1099,-0.0450,2.989,good,0.001,3.51,0,0,0,0,10.22,3,0.0,,,
57,0.3520,-0.1181,0.1231,2.997,faded,0.826,2.91,1,1,1,0,12.79,2,3.2,47,46,46
55,0.3560,-0.1137,-0.0627,2.996,good,0.000,3.28,0,0,0,0,11.33,3,0.0,,,
56,0.3560,-0.1095,-0.0343,2.993,good,0.000,1.97,0,0,0,0,10.00,3,0.0,,,
58,0.3600,-0.1144,-0.1016,2.993,good,0.000,2.41,0,0,0,0,11.63,3,0.0,,,
59,0.3600,-0.1120,0.0318,3.003,good,0.000,4.53,0,0,0,0,10.60,3,0.0,,,
64,0.3640,-0.1198,-0.1639,3.000,good,0.000,2.15,0,0,0,0,13.26,2,0.0,,,
65,0.3640,-0.1196,-0.1394,2.979,good,0.002,3.37,0,0,0,0,13.71,2,0.0,,,
66,0.3640,-0.1154,-0.0658,3.148,good,0.022,3.23,0,0,0,0,8.43,2,0.0,,,
60,0.3680,-0.1154,0.0885,2.998,good,0.000,1.94,0,0,0,0,11.85,3,0.0,,,
61,0.3680,-0.1142,-0.1715,3.000,good,0.000,1.76,0,0,0,0,11.41,3,0.0,,,
62,0.3680,-0.1098,0.1375,3.000,good,0.024,2.78,0,0,0,0,9.93,3,0.0,,,
63,0.3680,-0.1085,-0.0951,2.997,good,0.016,3.02,0,0,0,0,9.55,3,0.0,,,
67,0.3720,-0.1130,-0.0848,2.956,good,0.001,5.32,0,0,0,0,12.06,3,0.0,,,
68,0.3720,-0.1134,-0.0540,2.978,good,0.000,4.54,0,0,0,0,11.65,3,0.0,,,
69,0.3720,-0.1120,-0.0313,2.998,good,0.080,4.56,0,0,0,0,10.71,3,0.0,,,
70,0.3720,-0.1093,0.1257,3.001,good,0.001,3.08,0,0,0,0,9.77,3,0.0,,,
73,0.3720,-0.1196,-0.0094,3.000,good,0.001,2.43,0,0,0,0,13.19,2,0.0,,,
74,0.3720,-0.1179,0.2254,3.012,good,0.000,2.31,0,0,0,0,12.35,2,0.0,,,
75,0.3720,-0.1159,0.0503,3.013,good,0.002,3.59,0,0,0,0,11.66,2,0.0,,,
71,0.3760,-0.1151,0.1623,2.996,good,0.001,6.02,0,0,0,0,11.80,3,0.0,,,
72,0.3760,-0.1130,0.0628,2.926,good,0.001,2.76,0,0,0,0,12.78,3,0.0,,,
77,0.3760,-0.1169,0.1106,2.988,good,0.000,3.02,0,0,0,0,12.61,2,0.0,,,
78,0.3760,-0.1166,-0.0508,2.994,good,0.000,4.07,0,0,0,0,12.33,2,0.0,,,
76,0.3800,-0.1155,0.0514,3.000,good,0.000,2.21,0,0,0,0,11.85,3,0.0,,,
80,0.3800,-0.1196,-0.1191,3.008,good,0.001,2.87,0,0,0,0,13.01,2,0.0,,,
81,0.3800,-0.1171,0.2159,2.997,good,0.027,2.82,0,0,0,0,12.44,2,0.0,,,
82,0.3800,-0.1214,0.1585,3.000,good,0.000,2.85,0,0,0,0,9.81,1,0.0,,,
79,0.3840,-0.1143,-0.0055,3.007,good,0.000,2.19,0,0,0,0,11.26,3,0.0,,,
84,0.3840,-0.1189,0.1449,3.007,good,0.000,2.91,0,0,0,0,12.78,2,0.0,,,
85,0.3840,-0.1168,-0.1026,3.006,good,0.000,1.86,0,0,0,0,12.13,2,0.0,,,
86,0.3840,-0.1164,0.2341,2.989,good,0.016,4.90,0,0,0,0,12.39,2,0.0,,,
83,0.3880,-0.1125,-0.0483,3.003,good,0.000,3.08,0,0,0,0,10.75,3,0.0,,,
87,0.3920,-0.1143,-0.0019,3.005,good,0.000,2.54,0,0,0,0,11.32,3,0.0,,,
88,0.3920,-0.1131,0.1269,2.999,good,0.000,3.74,0,0,0,0,11.05,3,0.0,,,
89,0.3920,-0.1141,-0.2188,2.954,good,0.001,3.86,0,0,0,0,12.48,3,0.0,,,
90,0.3920,-0.1128,0.0298,2.997,good,0.000,3.43,0,0,0,0,11.00,3,0.0,,,
91,0.3920,-0.1097,0.0586,3.000,good,0.000,1.89,0,0,0,0,9.91,3,0.0,,,
93,0.3920,-0.1162,0.1990,3.001,good,0.000,3.26,0,0,0,0,12.03,2,0.0,,,
92,0.3960,-0.1127,-0.0861,3.000,good,0.042,3.12,0,0,0,0,10.91,3,0.0,,,
94,0.4000,-0.1150,-0.0243,3.006,good,0.000,2.14,0,0,0,0,11.52,3,0.0,,,
95,0.4000,-0.1112,0.1615,2.994,good,0.001,1.94,0,0,0,0,10.55,3,0.0,,,
96,0.4040,-0.1114,0.0708,3.003,good,0.000,1.62,0,0,0,0,10.41,3,0.0,,,
97,0.4040,-0.1084,0.2178,2.998,good,0.000,2.12,0,0,0,0,9.51,3,0.0,,,
100,0.4040,-0.1191,0.2181,2.998,good,0.002,5.85,0,0,0,0,13.08,2,0.0,,,
101,0.4040,-0.1195,-0.1725,2.992,good,0.000,2.65,0,0,0,0,13.36,2,0.0,,,
102,0.4040,-0.1185,-0.1365,2.999,good,0.000,3.23,0,0,0,0,12.86,2,0.0,,,
98,0.4080,-0.1120,-0.2155,3.006,black,1.000,50.56,1,1,1,0,10.52,3,3.2,4,111,111
99,0.4080,-0.1104,0.0056,3.008,good,0.000,2.27,0,0,0,0,9.97,3,0.0,,,
107,0.4080,-0.1169,0.1009,2.998,good,0.000,2.89,0,0,0,0,12.35,2,0.0,,,
103,0.4120,-0.1126,-0.0842,2.935,good,0.001,2.80,0,0,0,0,12.41,3,0.0,,,
104,0.4120,-0.1107,-0.2064,3.006,good,0.001,3.26,0,0,0,0,10.11,3,0.0,,,
105,0.4120,-0.1110,0.0548,3.013,good,0.008,3.42,0,0,0,0,10.02,3,0.0,,,
