tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1195,0.0211,2.956,good,0.001,2.10,0,0,0,0,14.27,2,0.0,,,
2,0.2920,-0.1194,-0.0415,2.990,good,0.001,3.19,0,0,0,0,13.38,2,0.0,,,
0,0.2960,-0.1102,0.1077,2.947,good,0.000,3.17,0,0,0,0,11.32,3,0.0,,,
3,0.3000,-0.1106,0.2129,2.917,good,0.000,2.96,0,0,0,0,12.20,3,0.0,,,
5,0.3000,-0.1165,-0.1014,2.905,good,0.000,1.80,0,0,0,0,14.53,2,0.0,,,
4,0.3040,-0.1142,-0.2301,2.884,good,0.000,3.29,0,0,0,0,14.27,3,0.0,,,
6,0.3080,-0.1099,0.0064,2.884,good,0.000,6.10,0,0,0,0,12.79,3,0.0,,,
12,0.3080,-0.1179,0.2277,2.865,good,0.000,2.14,0,0,0,0,16.05,2,0.0,,,
13,0.3080,-0.1165,-0.1030,2.868,insect,0.998,4.22,1,1,1,0,15.49,2,3.1,18|19,13,13
7,0.3120,-0.1152,-0.1802,2.859,broken,0.997,3.09,1,1,1,0,15.25,3,2.4,8|9,15,15
8,0.3120,-0.1171,-0.0365,2.861,good,0.000,3.00,0,0,0,0,15.89,3,0.0,,,
9,0.3120,-0.1141,-0.0232,2.866,good,0.015,3.47,0,0,0,0,14.68,3,0.0,,,
10,0.3120,-0.1114,0.2168,2.864,good,0.002,2.10,0,0,0,0,13.82,3,0.0,,,
11,0.3120,-0.1114,-0.0138,2.869,good,0.000,2.77,0,0,0,0,13.66,3,0.0,,,
15,0.3120,-0.1190,0.1965,2.846,good,0.000,2.84,0,0,0,0,16.96,2,0.0,,,
16,0.3120,-0.1182,0.1405,2.854,good,0.000,2.06,0,0,0,0,16.46,2,0.0,,,
14,0.3160,-0.1092,0.1712,2.851,good,0.000,2.34,0,0,0,0,13.39,3,0.0,,,
17,0.3200,-0.1161,0.1034,2.851,good,0.000,2.77,0,0,0,0,15.79,3,0.0,,,
18,0.3200,-0.1136,-0.1097,2.849,good,0.000,1.88,0,0,0,0,14.96,3,0.0,,,
