tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.004,good,0.121,12.17,0,0,0,0,13.13,2,0.0,,,
2,0.2920,-0.1189,-0.0418,2.996,insect,0.990,6.46,1,1,1,0,13.06,2,3.1,26,3,3
0,0.2960,-0.1102,0.1076,3.042,good,0.002,6.04,0,0,0,0,9.10,3,0.0,,,
3,0.3000,-0.1110,0.2123,3.005,good,0.008,6.47,0,0,0,0,10.20,3,0.0,,,
4,0.3000,-0.1175,-0.1033,3.015,good,0.463,7.81,0,0,0,0,12.13,2,0.0,,,
6,0.3040,-0.1147,-0.2308,2.993,good,0.303,6.91,0,0,0,0,11.74,2,0.0,,,
5,0.3080,-0.1083,0.0027,2.992,good,0.006,14.92,0,0,0,0,9.63,3,0.0,,,
9,0.3080,-0.1153,-0.1030,3.010,insect,0.997,7.11,1,1,1,0,11.54,2,3.1,18|19,13,13
10,0.3080,-0.1162,0.2279,3.010,good,0.019,5.42,0,0,0,0,11.81,2,0.0,,,
7,0.3120,-0.1141,-0.1802,3.007,good,0.436,12.60,0,0,0,0,11.22,3,0.0,,,
8,0.3120,-0.1129,-0.0180,2.973,good,0.248,8.17,0,0,0,0,11.61,3,0.0,,,
11,0.3120,-0.1189,0.1962,2.985,insect,0.872,6.34,1,1,1,0,13.35,2,3.1,57|56,16,16
12,0.3120,-0.1173,0.1405,2.990,good,0.152,9.26,0,0,0,0,12.66,2,0.0,,,
13,0.3120,-0.1177,-0.0357,3.013,insect,0.736,6.82,1,1,1,0,12.26,2,2.9,27,2,2
16,0.3160,-0.1196,-0.0454,2.997,good,0.112,6.88,0,0,0,0,13.27,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.003,7.76,0,0,0,0,10.57,3,0.0,,,
15,0.3200,-0.1108,-0.1365,2.987,good,0.289,12.12,0,0,0,0,10.58,3,0.0,,,
20,0.3200,-0.1181,-0.2234,3.010,sour,1.000,26.82,1,1,1,0,12.45,2,3.2,3,29,29
21,0.3200,-0.1161,-0.1115,2.999,good,0.396,5.99,0,0,0,0,12.08,2,0.0,,,
22,0.3200,-0.1239,0.1837,3.000,stone,0.710,14.21,1,1,1,0,10.65,1,7.4,55,,
26,0.3200,-0.1138,0.1800,3.000,good,0.023,10.11,0,0,0,0,11.28,1,0.0,,,
27,0.3200,-0.1090,0.1871,3.000,insect,0.990,6.22,1,1,1,0,9.65,1,3.1,55|56,31,31
17,0.3240,-0.1104,-0.1579,3.001,good,0.075,12.56,0,0,0,0,10.10,3,0.0,,,
18,0.3240,-0.1095,0.1183,3.004,insect,0.951,8.09,1,1,1,0,9.75,3,3.1,47|46,21,21
19,0.3240,-0.1087,0.2154,3.008,good,0.327,7.58,0,0,0,0,9.39,3,0.0,,,
24,0.3240,-0.1196,-0.2033,3.098,good,0.404,8.72,0,0,0,0,10.88,2,0.0,,,
25,0.3240,-0.1166,0.2000,2.988,good,0.052,7.27,0,0,0,0,12.49,2,0.0,,,
23,0.3280,-0.1103,0.1845,2.983,good,0.124,5.86,0,0,0,0,10.50,3,0.0,,,
33,0.3280,-0.1199,0.0645,2.995,insect,0.990,5.99,1,1,1,0,13.42,2,3.1,40,42,42
28,0.3320,-0.1158,-0.1459,3.000,good,0.326,8.87,0,0,0,0,11.92,3,0.0,,,
