tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.006,good,0.496,6.19,0,0,0,0,13.10,2,0.0,,,
2,0.2920,-0.1190,-0.0419,2.995,shell,0.962,9.43,1,1,1,0,13.10,2,2.4,26,3,3
0,0.2960,-0.1102,0.1076,3.042,good,0.001,5.90,0,0,0,0,9.10,3,0.0,,,
3,0.3000,-0.1109,0.2123,3.009,good,0.188,4.17,0,0,0,0,10.10,3,0.0,,,
4,0.3000,-0.1175,-0.1033,2.998,faded,0.791,5.41,1,1,1,0,12.55,2,3.2,18,10,10
6,0.3040,-0.1148,-0.2309,2.989,good,0.401,6.46,0,0,0,0,11.84,2,0.0,,,
5,0.3080,-0.1083,0.0027,2.992,good,0.122,6.70,0,0,0,0,9.63,3,0.0,,,
9,0.3080,-0.1153,-0.1030,3.005,insect,0.989,8.33,1,1,1,0,11.65,2,3.1,18|19,13,13
10,0.3080,-0.1162,0.2279,3.012,good,0.005,2.99,0,0,0,0,11.78,2,0.0,,,
7,0.3120,-0.1141,-0.1802,3.006,good,0.076,3.88,0,0,0,0,11.24,3,0.0,,,
8,0.3120,-0.1129,-0.0180,2.972,husk,0.643,9.60,1,1,1,0,11.63,3,2.4,29,7|24,7|24
11,0.3120,-0.1189,0.1962,2.982,good,0.014,5.16,0,0,0,0,13.41,2,0.0,,,
12,0.3120,-0.1173,0.1405,2.992,faded,0.562,4.65,1,1,1,0,12.61,2,3.2,49|50,6,6
13,0.3120,-0.1178,-0.0357,3.001,good,0.422,7.43,0,0,0,0,12.57,2,0.0,,,
16,0.3160,-0.1196,-0.0454,2.997,good,0.001,6.64,0,0,0,0,13.27,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.003,6.38,0,0,0,0,10.57,3,0.0,,,
15,0.3200,-0.1108,-0.1365,2.987,good,0.000,5.61,0,0,0,0,10.58,3,0.0,,,
20,0.3200,-0.1181,-0.2234,3.010,sour,1.000,17.61,1,1,1,0,12.45,2,3.2,3,29,29
21,0.3200,-0.1162,-0.1115,2.999,good,0.458,7.71,0,0,0,0,12.08,2,0.0,,,
22,0.3200,-0.1239,0.1837,3.000,good,0.071,7.62,0,0,0,0,10.65,1,0.0,,,
26,0.3200,-0.1139,0.1800,3.000,faded,0.889,5.72,1,1,1,0,11.29,1,3.2,55|54,19,
27,0.3200,-0.1090,0.1871,3.000,good,0.001,4.40,0,0,0,0,9.66,1,0.0,,,
17,0.3240,-0.1104,-0.1579,3.003,good,0.000,3.32,0,0,0,0,10.07,3,0.0,,,
18,0.3240,-0.1095,0.1183,3.005,good,0.158,7.13,0,0,0,0,9.73,3,0.0,,,
19,0.3240,-0.1087,0.2154,3.012,good,0.000,3.76,0,0,0,0,9.30,3,0.0,,,
24,0.3240,-0.1196,-0.2033,3.094,good,0.000,4.42,0,0,0,0,10.97,2,0.0,,,
25,0.3240,-0.1166,0.2000,2.991,good,0.008,4.06,0,0,0,0,12.40,2,0.0,,,
23,0.3280,-0.1103,0.1845,2.984,good,0.256,4.79,0,0,0,0,10.49,3,0.0,,,
33,0.3280,-0.1199,0.0645,2.996,insect,1.000,6.47,1,1,1,0,13.39,2,3.1,40,42,42
28,0.3320,-0.1158,-0.1459,3.001,good,0.000,4.08,0,0,0,0,11.91,3,0.0,,,
29,0.3320,-0.1146,-0.2387,3.005,good,0.001,3.21,0,0,0,0,11.42,3,0.0,,,
30,0.3320,-0.1150,0.1525,2.943,good,0.060,4.25,0,0,0,0,13.03,3,0.0,,,
31,0.3320,-0.1116,0.0160,3.000,faded,0.991,6.91,1,1,1,0,10.55,3,3.2,34|33,17,17
32,0.3320,-0.1105,-0.0750,3.000,shell,0.865,7.89,1,1,1,0,10.17,3,2.4,22,43,43
34,0.3360,-0.1085,0.0661,2.997,good,0.112,6.15,0,0,0,0,9.54,3,0.0,,,
40,0.3360,-0.1192,-0.0275,2.988,good,0.001,5.05,0,0,0,0,13.36,2,0.0,,,
41,0.3360,-0.1170,-0.0879,3.000,good,0.117,7.88,0,0,0,0,12.33,2,0.0,,,
35,0.3400,-0.1138,-0.1192,2.997,good,0.012,6.78,0,0,0,0,11.35,3,0.0,,,
36,0.3400,-0.1134,-0.0608,3.000,good,0.037,6.54,0,0,0,0,11.14,3,0.0,,,
37,0.3400,-0.1144,0.1282,2.999,shell,0.999,13.58,1,1,1,0,11.48,3,2.4,48,56,56
38,0.3400,-0.1116,-0.1953,3.007,good,0.386,6.64,0,0,0,0,10.36,3,0.0,,,
39,0.3400,-0.1098,-0.0111,3.004,good,0.007,7.59,0,0,0,0,9.85,3,0.0,,,
44,0.3400,-0.1188,-0.0215,3.002,shell,0.963,9.24,1,1,1,0,12.91,2,2.4,29,49,49
45,0.3400,-0.1169,-0.1733,2.989,good,0.006,6.81,0,0,0,0,12.59,2,0.0,,,
42,0.3440,-0.1128,-0.1417,3.001,sour,1.000,13.43,1,1,1,0,10.91,3,3.2,13|14,44,44
43,0.3440,-0.1119,-0.0341,3.004,good,0.042,8.27,0,0,0,0,10.51,3,0.0,,,
46,0.3440,-0.1169,0.1081,3.021,faded,0.888,7.23,1,1,1,0,11.79,2,3.2,45|46,40,40
47,0.3440,-0.1164,-0.2407,2.999,faded,0.573,4.67,1,1,1,0,12.15,2,3.2,1|0,37,37
48,0.3440,-0.1156,0.1602,2.995,good,0.002,6.46,0,0,0,0,12.00,2,0.0,,,
53,0.3480,-0.1177,0.0016,2.994,faded,1.000,6.84,1,1,1,0,12.71,2,3.2,32,59,59
54,0.3480,-0.1147,0.1235,3.019,good,0.002,4.85,0,0,0,0,11.12,2,0.0,,,
49,0.3520,-0.1128,0.1947,2.997,black,1.000,45.76,1,1,1,0,10.99,3,3.2,56|57,58,58
50,0.3520,-0.1126,0.0680,2.984,faded,0.964,5.85,1,1,1,0,11.24,3,3.2,40,39,39
51,0.3520,-0.1102,-0.2009,3.001,good,0.000,2.74,0,0,0,0,10.05,3,0.0,,,
52,0.3520,-0.1099,-0.0450,2.988,faded,0.848,5.54,1,1,1,0,10.23,3,3.2,26,65,65
57,0.3520,-0.1181,0.1231,2.996,faded,0.977,7.79,1,1,1,0,12.82,2,2.4,47,46,46
55,0.3560,-0.1137,-0.0627,2.996,good,0.230,6.25,0,0,0,0,11.31,3,0.0,,,
56,0.3560,-0.1095,-0.0343,2.993,good,0.004,6.99,0,0,0,0,10.00,3,0.0,,,
58,0.3600,-0.1144,-0.1016,2.993,good,0.005,6.11,0,0,0,0,11.63,3,0.0,,,
59,0.3600,-0.1120,0.0318,3.003,good,0.002,7.26,0,0,0,0,10.60,3,0.0,,,
64,0.3640,-0.1198,-0.1639,3.000,good,0.015,6.22,0,0,0,0,13.26,2,0.0,,,
65,0.3640,-0.1195,-0.1394,2.984,faded,0.970,5.21,1,1,1,0,13.57,2,3.2,14|13,53,53
66,0.3640,-0.1154,-0.0658,3.148,shell,1.000,9.59,1,1,1,0,8.43,2,2.4,23,75,
60,0.3680,-0.1154,0.0885,2.998,good,0.024,6.88,0,0,0,0,11.85,3,0.0,,,
61,0.3680,-0.1142,-0.1715,3.000,good,0.001,5.12,0,0,0,0,11.41,3,0.0,,,
62,0.3680,-0.1098,0.1375,3.000,faded,0.991,4.58,1,1,1,0,9.94,3,3.2,49,62,62
63,0.3680,-0.1084,-0.0951,2.997,good,0.527,9.24,1,1,1,0,9.55,3,2.4,19|20,54,54
67,0.3720,-0.1130,-0.0848,2.956,good,0.000,6.22,0,0,0,0,12.06,3,0.0,,,
68,0.3720,-0.1134,-0.0540,2.978,good,0.026,8.12,0,0,0,0,11.65,3,0.0,,,
69,0.3720,-0.1120,-0.0313,2.995,faded,0.965,7.31,1,1,1,0,10.77,3,3.2,27|28,80,80
70,0.3720,-0.1093,0.1258,3.000,good,0.409,8.16,0,0,0,0,9.79,3,0.0,,,
73,0.3720,-0.1196,-0.0094,3.000,good,0.434,5.43,0,0,0,0,13.19,2,0.0,,,
74,0.3720,-0.1179,0.2254,3.013,good,0.002,4.37,0,0,0,0,12.32,2,0.0,,,
75,0.3720,-0.1159,0.0504,3.016,good,0.273,8.23,0,0,0,0,11.58,2,0.0,,,
71,0.3760,-0.1151,0.1623,2.996,good,0.066,7.17,0,0,0,0,11.79,3,0.0,,,
72,0.3760,-0.1130,0.0628,2.926,good,0.004,5.64,0,0,0,0,12.78,3,0.0,,,
77,0.3760,-0.1169,0.1106,2.988,good,0.013,4.71,0,0,0,0,12.61,2,0.0,,,
78,0.3760,-0.1166,-0.0508,2.994,shell,0.871,9.43,1,1,1,0,12.34,2,2.4,25,68,68
76,0.3800,-0.1155,0.0514,3.000,good,0.001,6.26,0,0,0,0,11.85,3,0.0,,,
80,0.3800,-0.1196,-0.1191,3.009,faded,0.773,4.12,1,1,1,0,12.99,2,3.2,16,92,92
81,0.3800,-0.1171,0.2159,2.997,good,0.000,2.93,0,0,0,0,12.44,2,0.0,,,
82,0.3800,-0.1214,0.1585,3.000,good,0.002,5.53,0,0,0,0,9.81,1,0.0,,,
79,0.3840,-0.1143,-0.0055,3.008,faded,0.569,6.96,1,1,1,0,11.25,3,3.2,31,77,77
84,0.3840,-0.1189,0.1449,3.007,good,0.000,5.06,0,0,0,0,12.78,2,0.0,,,
85,0.3840,-0.1168,-0.1026,3.006,good,0.189,6.62,0,0,0,0,12.13,2,0.0,,,
86,0.3840,-0.1164,0.2341,2.989,good,0.000,4.76,0,0,0,0,12.39,2,0.0,,,
83,0.3880,-0.1125,-0.0483,3.001,good,0.075,8.10,0,0,0,0,10.81,3,0.0,,,
87,0.3920,-0.1143,-0.0019,3.005,good,0.061,8.09,0,0,0,0,11.32,3,0.0,,,
88,0.3920,-0.1131,0.1269,2.999,good,0.224,6.16,0,0,0,0,11.05,3,0.0,,,
89,0.3920,-0.1141,-0.2188,2.954,good,0.001,2.40,0,0,0,0,12.48,3,0.0,,,
90,0.3920,-0.1128,0.0298,2.997,good,0.002,6.99,0,0,0,0,11.00,3,0.0,,,
91,0.3920,-0.1097,0.0586,3.000,good,0.002,6.03,0,0,0,0,9.91,3,0.0,,,
93,0.3920,-0.1161,0.1990,3.004,good,0.000,4.01,0,0,0,0,11.96,2,0.0,,,
92,0.3960,-0.1127,-0.0861,3.000,good,0.005,4.44,0,0,0,0,10.91,3,0.0,,,
94,0.4000,-0.1150,-0.0243,3.006,faded,0.728,6.00,1,1,1,0,11.52,3,3.2,28|29,87,87
95,0.4000,-0.1112,0.1615,2.994,good,0.010,6.28,0,0,0,0,10.55,3,0.0,,,
96,0.4040,-0.1114,0.0708,3.003,good,0.014,6.49,0,0,0,0,10.41,3,0.0,,,
97,0.4040,-0.1084,0.2178,2.998,good,0.004,6.54,0,0,0,0,9.51,3,0.0,,,
100,0.4040,-0.1191,0.2180,2.998,faded,0.990,4.88,1,1,1,0,13.08,2,3.2,59|60,93,93
101,0.4040,-0.1195,-0.1725,2.988,good,0.003,5.94,0,0,0,0,13.45,2,0.0,,,
102,0.4040,-0.1185,-0.1365,2.999,good,0.001,5.67,0,0,0,0,12.86,2,0.0,,,
98,0.4080,-0.1120,-0.2155,3.006,black,1.000,46.43,1,1,1,0,10.52,3,3.2,4,111,111
99,0.4080,-0.1104,0.0056,3.008,good,0.053,7.16,0,0,0,0,9.97,3,0.0,,,
107,0.4080,-0.1169,0.1009,2.998,faded,0.894,5.84,1,1,1,0,12.35,2,3.2,44|45,98,98
103,0.4120,-0.1125,-0.0842,2.937,shell,1.000,8.97,1,1,1,0,12.37,3,2.4,21,120,120
104,0.4120,-0.1107,-0.2064,3.010,good,0.293,4.19,0,0,0,0,10.00,3,0.0,,,
105,0.4120,-0.1110,0.0548,3.013,good,0.045,4.26,0,0,0,0,10.02,3,0.0,,,
106,0.4120,-0.1089,-0.1513,2.986,good,0.001,5.07,0,0,0,0,9.97,3,0.0,,,
108,0.4120,-0.1188,-0.1940,3.002,faded,1.000,6.13,1,1,1,0,12.89,2,3.2,7|6,109,109
109,0.4120,-0.1174,0.0289,2.989,good,0.002,6.48,0,0,0,0,12.73,2,0.0,,,
110,0.4120,-0.1184,0.0843,3.005,good,0.121,6.00,0,0,0,0,12.67,2,0.0,,,
114,0.4160,-0.1194,0.0443,2.995,shell,0.971,8.72,1,1,1,0,13.27,2,2.4,37,107,107
111,0.4200,-0.1106,-0.0240,3.000,good,0.012,5.70,0,0,0,0,10.20,3,0.0,,,
112,0.4200,-0.1107,-0.1512,3.029,faded,0.993,7.93,1,1,1,0,9.56,3,3.1,12,100,
113,0.4200,-0.1085,0.1957,2.995,good,0.000,3.76,0,0,0,0,9.61,3,0.0,,,
117,0.4200,-0.1199,-0.0356,2.999,shell,0.687,8.19,1,1,1,0,13.34,2,2.4,27,115,115
118,0.4200,-0.1191,0.1964,3.002,good,0.112,3.76,0,0,0,0,12.99,2,0.0,,,
119,0.4200,-0.1185,0.0847,2.943,faded,0.817,5.53,1,1,1,0,14.24,2,3.2,42|43,128,128
115,0.4240,-0.1137,-0.2358,3.000,good,0.003,4.13,0,0,0,0,11.22,3,0.0,,,
116,0.4240,-0.1095,-0.0683,3.001,good,0.001,4.81,0,0,0,0,9.82,3,0.0,,,
123,0.4240,-0.1184,0.1733,3.006,good,0.000,4.56,0,0,0,0,12.67,2,0.0,,,
124,0.4240,-0.1178,-0.2163,3.173,good,0.000,5.07,0,0,0,0,8.65,2,0.0,,,
125,0.4240,-0.1173,-0.1960,3.000,good,0.002,5.69,0,0,0,0,12.43,2,0.0,,,
120,0.4280,-0.1133,0.2195,2.998,good,0.039,6.52,0,0,0,0,11.13,3,0.0,,,
121,0.4280,-0.1124,-0.0525,3.006,good,0.081,5.42,0,0,0,0,10.66,3,0.0,,,
122,0.4280,-0.1109,0.2046,2.997,good,0.000,3.84,0,0,0,0,10.37,3,0.0,,,
126,0.4320,-0.1153,-0.0670,2.998,good,0.186,7.85,0,0,0,0,11.83,3,0.0,,,
131,0.4320,-0.1190,-0.1182,2.986,husk,1.000,75.24,1,1,1,0,13.34,2,2.4,16|17,108,108
127,0.4360,-0.1106,0.1640,3.139,good,0.039,4.95,0,0,0,0,7.08,3,0.0,,,
128,0.4360,-0.1100,0.0391,3.011,good,0.443,8.78,0,0,0,0,9.76,3,0.0,,,
129,0.4360,-0.1099,-0.2093,3.000,good,0.002,5.27,0,0,0,0,9.97,3,0.0,,,
130,0.4360,-0.1099,0.0069,3.006,faded,0.625,6.73,1,1,1,0,9.83,3,3.2,32|33,135,135
133,0.4360,-0.1169,-0.1843,2.996,faded,0.999,3.93,1,1,1,0,12.41,2,3.2,8,125,
134,0.4360,-0.1169,0.1169,3.000,good,0.001,5.51,0,0,0,0,12.31,2,0.0,,,
135,0.4360,-0.1166,-0.1245,2.993,good,0.465,6.59,0,0,0,0,12.36,2,0.0,,,
132,0.4400,-0.1097,0.0387,3.009,shell,0.978,9.27,1,1,1,0,9.70,3,2.4,36|37,136,136
136,0.4440,-0.1123,0.1450,3.003,good,0.002,4.06,0,0,0,0,10.69,3,0.0,,,
137,0.4440,-0.1088,-0.2260,3.004,good,0.000,1.91,0,0,0,0,9.50,3,0.0,,,
138,0.4440,-0.1086,0.2251,3.000,insect,1.000,8.96,1,1,1,0,9.54,3,3.1,60|61,130,130
139,0.4440,-0.1166,-0.2159,3.004,good,0.000,2.38,0,0,0,0,12.09,2,0.0,,,
140,0.4440,-0.1157,0.0209,3.004,good,0.001,6.63,0,0,0,0,11.81,2,0.0,,,
141,0.4440,-0.1155,0.0936,3.011,good,0.004,7.34,0,0,0,0,11.57,2,0.0,,,
144,0.4480,-0.1190,-0.0960,2.999,good,0.075,7.09,0,0,0,0,13.02,2,0.0,,,
142,0.4520,-0.1131,-0.1667,3.001,good,0.000,6.05,0,0,0,0,11.03,3,0.0,,,
143,0.4520,-0.1120,0.0326,3.001,good,0.203,7.93,0,0,0,0,10.64,3,0.0,,,
150,0.4520,-0.1160,-0.2178,3.003,faded,0.978,7.71,1,1,1,0,11.93,2,3.2,4|3,141,141
151,0.4520,-0.1179,0.0240,3.000,shell,1.000,8.30,1,1,1,0,12.63,2,2.4,35|34,152,152
152,0.4520,-0.1155,-0.1758,2.996,faded,0.958,5.03,1,1,1,0,11.93,2,3.2,9,142,142
145,0.4560,-0.1155,-0.2050,3.006,faded,0.994,5.52,1,1,1,0,11.71,3,3.2,5,145,145
146,0.4560,-0.1128,0.1549,2.999,good,0.035,4.64,0,0,0,0,10.93,3,0.0,,,
147,0.4560,-0.1117,0.0664,2.986,faded,1.000,8.24,1,1,1,0,10.90,3,3.2,40,149,149
148,0.4560,-0.1094,0.2294,3.002,good,0.000,2.90,0,0,0,0,9.73,3,0.0,,,
149,0.4560,-0.1087,0.0152,2.997,good,0.039,8.15,0,0,0,0,9.63,3,0.0,,,
153,0.4600,-0.1164,0.1233,3.003,faded,0.999,7.58,1,1,1,0,12.05,3,2.9,47,181,181
154,0.4600,-0.1146,-0.0190,3.000,good,0.006,5.60,0,0,0,0,11.53,3,0.0,,,
155,0.4600,-0.1120,0.2242,3.005,faded,0.614,6.95,1,1,1,0,10.55,3,3.2,60,173,173
156,0.4600,-0.1111,0.1912,2.998,insect,1.000,8.15,1,1,1,0,10.41,3,3.1,56,154,154
157,0.4600,-0.1100,-0.0340,3.017,good,0.033,5.08,0,0,0,0,9.59,3,0.0,,,
158,0.4640,-0.1150,-0.1479,3.007,faded,0.952,6.94,1,1,1,0,11.48,3,3.2,13|12,178,178
159,0.4640,-0.1106,0.2070,3.001,good,0.003,5.01,0,0,0,0,10.18,3,0.0,,,
160,0.4640,-0.1109,0.1307,3.004,black,1.000,52.01,1,1,1,0,10.21,3,3.2,48,153,153
164,0.4640,-0.1191,-0.1249,3.004,faded,0.570,3.94,1,1,1,0,12.93,2,3.2,16|15,150,150
165,0.4640,-0.1193,-0.1109,3.031,good,0.003,5.87,0,0,0,0,12.37,2,0.0,,,
166,0.4640,-0.1196,0.0628,2.992,black,1.000,49.72,1,1,1,0,13.39,2,3.2,40|39,168,168
161,0.4680,-0.1125,-0.0255,3.006,good,0.181,7.20,0,0,0,0,10.71,3,0.0,,,
162,0.4680,-0.1093,-0.0055,2.996,good,0.032,6.72,0,0,0,0,9.86,3,0.0,,,
163,0.4680,-0.1083,0.0855,2.999,good,0.222,6.82,0,0,0,0,9.46,3,0.0,,,
168,0.4680,-0.1170,-0.1380,3.007,good,0.001,6.30,0,0,0,0,12.15,2,0.0,,,
169,0.4680,-0.1165,-0.0154,3.157,good,0.000,5.98,0,0,0,0,8.59,2,0.0,,,
170,0.4680,-0.1152,0.2259,2.996,good,0.000,4.48,0,0,0,0,11.82,2,0.0,,,
167,0.4720,-0.1127,-0.0797,2.994,good,0.477,8.25,0,0,0,0,11.06,3,0.0,,,
177,0.4720,-0.1180,-0.2171,3.005,good,0.000,3.84,0,0,0,0,12.54,2,0.0,,,
171,0.4760,-0.1118,-0.0955,2.998,faded,0.937,6.92,1,1,1,0,10.62,3,3.2,19,170,170
172,0.4760,-0.1107,-0.1203,3.230,good,0.065,5.23,0,0,0,0,5.24,3,0.0,,,
173,0.4760,-0.1134,0.0336,2.788,good,0.030,6.78,0,0,0,0,16.53,3,0.0,,,
174,0.4760,-0.1086,-0.2279,2.999,insect,1.000,4.32,1,1,1,0,9.56,3,3.1,2|3,179,179
175,0.4760,-0.1081,-0.1967,2.997,faded,0.990,4.94,1,1,1,0,9.43,3,3.2,6|7,167,167
176,0.4760,-0.1081,0.2114,3.013,good,0.000,3.59,0,0,0,0,9.08,3,0.0,,,
178,0.4800,-0.1142,-0.0262,3.003,good,0.294,8.23,0,0,0,0,11.32,3,0.0,,,
179,0.4800,-0.1115,-0.1456,2.998,faded,0.994,4.74,1,1,1,0,10.56,3,3.2,13,190,190
180,0.4800,-0.1084,-0.1352,3.001,shell,0.934,7.72,1,1,1,0,9.43,3,2.4,14,195,195
181,0.4800,-0.1200,-0.0735,3.007,good,0.001,7.82,0,0,0,0,13.14,2,0.0,,,
182,0.4800,-0.1180,0.0240,3.002,good,0.007,6.33,0,0,0,0,12.62,2,0.0,,,
186,0.4840,-0.1183,-0.1624,3.001,faded,0.998,6.98,1,1,1,0,12.74,2,3.2,11,187,187
183,0.4880,-0.1142,-0.1788,2.984,good,0.001,3.65,0,0,0,0,11.78,3,0.0,,,
184,0.4880,-0.1134,0.1455,3.001,good,0.023,3.98,0,0,0,0,11.11,3,0.0,,,
185,0.4880,-0.1098,0.0925,2.995,faded,1.000,5.07,1,1,1,0,10.04,3,3.2,43|44,184,184
187,0.4920,-0.1153,0.0015,2.991,good,0.000,4.99,0,0,0,0,11.97,3,0.0,,,
188,0.4920,-0.1135,0.1042,2.986,good,0.003,6.13,0,0,0,0,11.51,3,0.0,,,
189,0.4920,-0.1120,-0.1912,3.003,good,0.001,5.65,0,0,0,0,10.60,3,0.0,,,
190,0.4920,-0.1102,0.1183,2.996,good,0.100,5.80,0,0,0,0,10.15,3,0.0,,,
191,0.4960,-0.1149,0.2043,3.002,good,0.007,3.64,0,0,0,0,11.58,3,0.0,,,
192,0.4960,-0.1155,-0.0479,3.002,good,0.002,6.26,0,0,0,0,11.78,3,0.0,,,
193,0.4960,-0.1123,-0.0376,2.996,good,0.261,7.43,0,0,0,0,10.86,3,0.0,,,
194,0.4960,-0.1093,-0.1441,2.998,faded,0.981,5.06,1,1,1,0,9.80,3,3.2,13,180,180
195,0.4960,-0.1110,0.1972,3.072,good,0.102,5.21,0,0,0,0,8.68,3,0.0,,,
196,0.4960,-0.1082,-0.1169,3.009,good,0.131,6.86,0,0,0,0,9.20,3,0.0,,,
197,0.4960,-0.1195,-0.0617,3.251,good,0.000,5.05,0,0,0,0,7.52,2,0.0,,,
198,0.5000,-0.1155,-0.0632,3.183,faded,0.521,5.88,1,1,1,0,7.69,2,3.2,23|24,198,
199,0.5080,-0.1152,0.1225,3.007,faded,0.976,6.55,1,1,1,0,11.57,3,3.2,47,197,197
200,0.5080,-0.1152,0.1611,3.010,faded,0.906,3.53,1,1,1,0,11.48,3,3.2,52,205,205
201,0.5080,-0.1152,0.0123,2.995,shell,1.000,9.46,1,1,1,0,11.87,3,2.4,33,192,192
202,0.5080,-0.1365,0.1969,3.000,good,0.020,7.16,0,0,0,0,10.83,1,0.0,,,
203,0.5080,-0.1107,0.1011,2.992,good,0.071,5.05,0,0,0,0,10.43,3,0.0,,,
