tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2880,-0.1084,0.0255,3.003,good,0.057,6.82,0,0,0,0,9.40,3,0.0,,,
1,0.2920,-0.1138,0.0063,2.953,good,0.149,6.73,0,0,0,0,12.40,3,0.0,,,
2,0.2920,-0.1259,-0.0080,2.993,good,0.248,6.91,0,0,0,0,11.48,2,0.0,,,
3,0.2920,-0.1125,0.0391,2.982,good,0.104,6.86,0,0,0,0,11.28,3,0.0,,,
4,0.2920,-0.1128,-0.0293,2.977,good,0.341,7.03,0,0,0,0,11.50,3,0.0,,,
6,0.2920,-0.1304,-0.0157,3.000,broken,0.627,6.00,1,1,1,0,12.80,1,2.4,29|30,37,
14,0.2920,-0.1158,-0.0114,3.000,good,0.021,9.10,0,0,0,0,11.94,1,0.0,,,
5,0.2960,-0.1095,0.0239,2.951,good,0.052,7.31,0,0,0,0,10.98,3,0.0,,,
11,0.2960,-0.1184,-0.0310,2.930,good,0.481,9.26,0,0,0,0,14.54,2,0.0,,,
12,0.2960,-0.1176,0.0329,2.937,good,0.500,7.42,1,1,1,0,14.10,2,3.2,36,13,13
13,0.2960,-0.1174,0.0105,2.937,good,0.413,6.86,0,0,0,0,14.02,2,0.0,,,
7,0.3000,-0.1121,-0.0560,2.913,good,0.203,7.60,0,0,0,0,12.82,3,0.0,,,
8,0.3000,-0.1110,-0.0060,2.937,good,0.138,11.20,0,0,0,0,11.83,3,0.0,,,
9,0.3000,-0.1110,0.0452,2.912,good,0.030,5.72,0,0,0,0,12.48,3,0.0,,,
10,0.3000,-0.1114,0.0184,2.917,broken,0.806,6.98,1,1,1,0,12.46,3,4.5,34,33,33
16,0.3000,-0.1191,-0.0406,2.922,stone,1.000,8.05,1,1,1,0,14.98,2,9.1,26|27|25,12,12
15,0.3040,-0.1145,0.0411,2.903,good,0.111,6.85,0,0,0,0,13.89,3,0.0,,,
17,0.3080,-0.1161,0.0343,2.881,good,0.100,5.87,0,0,0,0,15.02,3,0.0,,,
18,0.3080,-0.1099,-0.0172,2.883,good,0.294,7.21,0,0,0,0,12.82,3,0.0,,,
19,0.3080,-0.1087,0.0063,2.882,broken,0.786,6.86,1,1,1,0,12.41,3,2.4,32|33,28,28
21,0.3080,-0.1187,0.0546,2.850,good,0.009,8.29,0,0,0,0,16.73,2,0.0,,,
22,0.3080,-0.1192,-0.0215,2.994,good,0.337,7.51,0,0,0,0,13.21,2,0.0,,,
23,0.3080,-0.1186,0.0048,2.872,stone,0.867,7.81,1,1,1,0,16.12,2,5.6,32,38,38
20,0.3120,-0.1088,-0.0365,2.861,good,0.343,6.77,0,0,0,0,12.99,3,0.0,,,
25,0.3120,-0.1149,-0.0516,2.860,stone,0.969,9.59,1,1,1,0,15.16,2,8.9,25|24|26,19|49,19|49
26,0.3120,-0.1149,-0.0094,2.850,good,0.127,7.60,0,0,0,0,15.40,2,0.0,,,
24,0.3160,-0.1125,0.0363,2.851,broken,0.802,6.45,1,1,1,0,14.51,3,2.4,36,15,15
