tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.002,good,0.006,1.93,0,0,0,0,13.19,2,0.0,,,
2,0.2920,-0.1189,-0.0419,2.997,good,0.000,3.26,0,0,0,0,13.04,2,0.0,,,
0,0.2960,-0.1102,0.1076,3.041,shell,0.856,4.82,1,1,1,0,9.13,3,2.4,45,12,12
3,0.3000,-0.1110,0.2123,3.006,good,0.001,2.99,0,0,0,0,10.17,3,0.0,,,
4,0.3000,-0.1175,-0.1033,3.007,good,0.481,2.76,0,0,0,0,12.35,2,0.0,,,
6,0.3040,-0.1148,-0.2309,2.985,good,0.005,2.58,0,0,0,0,11.95,2,0.0,,,
5,0.3080,-0.1083,0.0027,2.993,good,0.133,6.38,0,0,0,0,9.60,3,0.0,,,
9,0.3080,-0.1162,0.2279,3.015,good,0.023,2.83,0,0,0,0,11.69,2,0.0,,,
10,0.3080,-0.1153,-0.1030,3.009,insect,0.995,4.40,1,1,1,0,11.56,2,3.1,18|19,13,13
7,0.3120,-0.1141,-0.1802,3.007,broken,0.990,2.95,1,1,1,0,11.22,3,2.4,8|9,15,
8,0.3120,-0.1129,-0.0180,2.972,good,0.287,5.94,0,0,0,0,11.63,3,0.0,,,
11,0.3120,-0.1189,0.1962,2.983,good,0.009,3.03,0,0,0,0,13.40,2,0.0,,,
12,0.3120,-0.1173,0.1405,2.994,good,0.023,1.85,0,0,0,0,12.58,2,0.0,,,
13,0.3120,-0.1178,-0.0357,3.003,good,0.088,3.77,0,0,0,0,12.51,2,0.0,,,
16,0.3160,-0.1196,-0.0454,2.998,good,0.002,5.21,0,0,0,0,13.25,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.009,3.69,0,0,0,0,10.58,3,0.0,,,
15,0.3200,-0.1108,-0.1364,2.983,good,0.051,3.81,0,0,0,0,10.67,3,0.0,,,
