tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.004,good,0.000,2.14,0,0,0,0,13.13,2,0.0,,,
2,0.2920,-0.1190,-0.0419,2.997,good,0.008,3.13,0,0,0,0,13.07,2,0.0,,,
0,0.2960,-0.1102,0.1076,3.042,good,0.000,3.86,0,0,0,0,9.10,3,0.0,,,
3,0.3000,-0.1109,0.2123,3.009,good,0.065,3.58,0,0,0,0,10.11,3,0.0,,,
4,0.3000,-0.1175,-0.1033,3.013,good,0.004,2.24,0,0,0,0,12.19,2,0.0,,,
6,0.3040,-0.1147,-0.2308,2.993,broken,0.569,6.36,1,1,1,0,11.74,2,2.4,2,4,4
5,0.3080,-0.1083,0.0027,2.992,good,0.000,6.10,0,0,0,0,9.63,3,0.0,,,
9,0.3080,-0.1153,-0.1030,3.006,insect,1.000,4.28,1,1,1,0,11.64,2,3.1,18|19,13,13
10,0.3080,-0.1162,0.2279,3.012,good,0.000,2.50,0,0,0,0,11.78,2,0.0,,,
7,0.3120,-0.1141,-0.1802,3.007,insect,0.760,6.59,1,1,1,0,11.22,3,2.6,8|9,15,
8,0.3120,-0.1129,-0.0180,2.973,good,0.056,6.11,0,0,0,0,11.60,3,0.0,,,
11,0.3120,-0.1189,0.1962,2.982,good,0.000,3.81,0,0,0,0,13.41,2,0.0,,,
12,0.3120,-0.1173,0.1405,2.992,good,0.013,2.59,0,0,0,0,12.61,2,0.0,,,
13,0.3120,-0.1178,-0.0357,3.001,good,0.001,2.66,0,0,0,0,12.57,2,0.0,,,
16,0.3160,-0.1196,-0.0454,2.997,good,0.000,3.93,0,0,0,0,13.27,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.000,3.66,0,0,0,0,10.57,3,0.0,,,
15,0.3200,-0.1108,-0.1365,2.987,good,0.209,4.60,0,0,0,0,10.58,3,0.0,,,
20,0.3200,-0.1181,-0.2234,3.010,sour,1.000,25.12,1,1,1,0,12.45,2,3.2,3,29,29
21,0.3200,-0.1162,-0.1115,3.000,good,0.004,2.46,0,0,0,0,12.06,2,0.0,,,
22,0.3200,-0.1239,0.1837,3.000,good,0.013,7.34,0,0,0,0,10.65,1,0.0,,,
26,0.3200,-0.1139,0.1800,3.000,good,0.142,4.06,0,0,0,0,11.29,1,0.0,,,
27,0.3200,-0.1090,0.1871,3.000,good,0.000,3.01,0,0,0,0,9.66,1,0.0,,,
17,0.3240,-0.1104,-0.1579,3.003,good,0.026,5.38,0,0,0,0,10.07,3,0.0,,,
18,0.3240,-0.1095,0.1183,3.004,good,0.001,3.72,0,0,0,0,9.73,3,0.0,,,
19,0.3240,-0.1087,0.2154,3.012,good,0.000,3.40,0,0,0,0,9.30,3,0.0,,,
24,0.3240,-0.1196,-0.2033,3.094,good,0.000,6.29,0,0,0,0,10.97,2,0.0,,,
25,0.3240,-0.1166,0.2000,2.991,good,0.000,2.86,0,0,0,0,12.40,2,0.0,,,
23,0.3280,-0.1103,0.1844,2.985,good,0.031,3.29,0,0,0,0,10.48,3,0.0,,,
33,0.3280,-0.1199,0.0645,2.996,insect,1.000,4.36,1,1,1,0,13.39,2,3.1,40,42,42
28,0.3320,-0.1158,-0.1459,3.001,good,0.023,7.45,0,0,0,0,11.91,3,0.0,,,
29,0.3320,-0.1146,-0.2387,3.005,good,0.337,7.64,0,0,0,0,11.43,3,0.0,,,
30,0.3320,-0.1150,0.1525,2.943,good,0.000,2.97,0,0,0,0,13.05,3,0.0,,,
31,0.3320,-0.1116,0.0160,3.001,good,0.001,2.56,0,0,0,0,10.51,3,0.0,,,
32,0.3320,-0.1105,-0.0750,3.000,good,0.006,2.40,0,0,0,0,10.17,3,0.0,,,
34,0.3360,-0.1085,0.0661,2.997,good,0.297,2.60,0,0,0,0,9.56,3,0.0,,,
40,0.3360,-0.1192,-0.0275,2.992,good,0.000,4.42,0,0,0,0,13.28,2,0.0,,,
41,0.3360,-0.1170,-0.0879,3.000,good,0.005,7.96,0,0,0,0,12.33,2,0.0,,,
35,0.3400,-0.1138,-0.1192,2.999,good,0.074,3.26,0,0,0,0,11.30,3,0.0,,,
36,0.3400,-0.1134,-0.0608,3.000,good,0.000,5.42,0,0,0,0,11.14,3,0.0,,,
37,0.3400,-0.1144,0.1282,2.999,shell,1.000,11.06,1,1,1,0,11.48,3,2.4,48,56,56
38,0.3400,-0.1116,-0.1953,3.009,good,0.069,5.90,0,0,0,0,10.31,3,0.0,,,
39,0.3400,-0.1098,-0.0111,3.004,good,0.001,2.73,0,0,0,0,9.85,3,0.0,,,
