tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2880,-0.1083,0.1070,3.001,good,0.000,3.19,0,0,0,0,9.40,3,0.0,,,
4,0.2920,-0.1182,-0.0642,3.450,good,0.003,3.81,0,0,0,0,3.23,2,0.0,,,
7,0.2920,-0.1192,-0.0159,3.226,good,0.000,3.05,0,0,0,0,7.94,2,0.0,,,
8,0.2920,-0.1162,-0.1032,2.996,good,0.000,1.88,0,0,0,0,12.17,2,0.0,,,
9,0.2920,-0.1162,-0.0361,3.009,good,0.001,3.24,0,0,0,0,11.85,2,0.0,,,
1,0.2960,-0.1164,0.1679,3.000,good,0.000,1.78,0,0,0,0,12.14,3,0.0,,,
2,0.2960,-0.1142,0.1302,3.000,good,0.000,2.22,0,0,0,0,11.40,3,0.0,,,
3,0.2960,-0.1102,-0.1118,3.393,insect,1.000,3.72,1,1,1,0,1.94,3,3.1,17,13,
5,0.2960,-0.1074,0.0388,3.387,shell,1.000,26.31,1,1,1,0,1.23,3,2.4,36|37,56,
6,0.2960,-0.1082,-0.0261,3.068,good,0.001,2.22,0,0,0,0,7.88,3,0.0,,,
14,0.2960,-0.1188,-0.2211,2.988,good,0.000,2.88,0,0,0,0,13.21,2,0.0,,,
15,0.2960,-0.1171,0.0038,2.954,good,0.000,2.54,0,0,0,0,13.49,2,0.0,,,
10,0.3000,-0.1152,0.0637,3.009,good,0.001,2.97,0,0,0,0,11.51,3,0.0,,,
11,0.3000,-0.1159,0.1683,2.869,good,0.003,7.22,0,0,0,0,15.24,3,0.0,,,
12,0.3000,-0.1104,0.2064,3.012,good,0.000,3.22,0,0,0,0,9.85,3,0.0,,,
13,0.3000,-0.1103,-0.1340,3.022,good,0.004,7.85,0,0,0,0,9.57,3,0.0,,,
21,0.3000,-0.1176,0.2297,3.001,good,0.000,1.78,0,0,0,0,12.51,2,0.0,,,
22,0.3000,-0.1171,0.0925,2.998,good,0.000,2.57,0,0,0,0,12.40,2,0.0,,,
23,0.3000,-0.1164,0.1908,2.989,good,0.265,4.13,0,0,0,0,12.41,2,0.0,,,
16,0.3040,-0.1149,0.0391,2.830,good,0.005,2.52,0,0,0,0,15.95,3,0.0,,,
17,0.3040,-0.1131,-0.2002,3.008,good,0.001,4.02,0,0,0,0,10.85,3,0.0,,,
18,0.3040,-0.1131,0.1217,2.999,good,0.000,2.94,0,0,0,0,11.05,3,0.0,,,
19,0.3040,-0.1100,-0.1813,2.986,broken,0.996,3.30,1,1,1,0,10.31,3,2.4,8,15,15
20,0.3040,-0.1082,0.2034,3.003,good,0.000,3.09,0,0,0,0,9.35,3,0.0,,,
25,0.3040,-0.1177,-0.0689,3.002,good,0.064,16.90,0,0,0,0,12.52,2,0.0,,,
26,0.3040,-0.1185,-0.1186,2.969,good,0.020,2.93,0,0,0,0,13.60,2,0.0,,,
27,0.3040,-0.1178,-0.1499,3.009,good,0.000,2.98,0,0,0,0,12.38,2,0.0,,,
24,0.3080,-0.1105,-0.1659,2.993,good,0.002,6.04,0,0,0,0,10.35,3,0.0,,,
32,0.3080,-0.1198,0.2168,3.207,good,0.034,5.02,0,0,0,0,8.53,2,0.0,,,
34,0.3080,-0.1186,-0.1015,1.937,good,0.002,8.95,0,0,0,0,52.85,2,0.0,,,
35,0.3080,-0.1161,0.1406,3.015,good,0.001,2.12,0,0,0,0,11.66,2,0.0,,,
46,0.3080,-0.1102,-0.1006,3.000,good,0.000,4.44,0,0,0,0,10.08,1,0.0,,,
28,0.3120,-0.1136,0.1627,3.014,good,0.000,2.14,0,0,0,0,10.86,3,0.0,,,
29,0.3120,-0.1100,0.0521,3.000,good,0.000,2.41,0,0,0,0,9.99,3,0.0,,,
30,0.3120,-0.1103,-0.0473,3.000,good,0.000,4.24,0,0,0,0,10.08,3,0.0,,,
31,0.3120,-0.1091,-0.0215,2.984,good,0.009,2.80,0,0,0,0,10.06,3,0.0,,,
33,0.3120,-0.1085,-0.1904,2.918,good,0.000,2.77,0,0,0,0,11.46,3,0.0,,,
43,0.3120,-0.1195,-0.1705,3.153,good,0.005,2.15,0,0,0,0,9.60,2,0.0,,,
44,0.3120,-0.1181,-0.1084,3.009,good,0.002,1.82,0,0,0,0,12.49,2,0.0,,,
45,0.3120,-0.1170,-0.0351,2.935,good,0.000,3.07,0,0,0,0,13.93,2,0.0,,,
36,0.3160,-0.1154,0.0934,3.001,good,0.000,3.75,0,0,0,0,11.75,3,0.0,,,
37,0.3160,-0.1143,0.0708,2.991,sour,1.000,20.15,1,1,1,0,11.64,3,3.2,41|40,29,29
38,0.3160,-0.1127,-0.0712,3.000,good,0.002,1.96,0,0,0,0,10.89,3,0.0,,,
39,0.3160,-0.1123,0.1968,2.997,good,0.005,4.42,0,0,0,0,10.85,3,0.0,,,
40,0.3160,-0.1214,0.1234,3.450,insect,1.000,4.31,1,1,1,0,0.18,2,3.1,47|48,,
41,0.3160,-0.1099,-0.0607,2.999,good,0.000,5.73,0,0,0,0,9.97,3,0.0,,,
42,0.3160,-0.1102,-0.1568,2.940,good,0.011,1.96,0,0,0,0,11.50,3,0.0,,,
51,0.3160,-0.1189,-0.0347,3.198,good,0.038,3.31,0,0,0,0,8.45,2,0.0,,,
52,0.3160,-0.1171,0.1743,3.379,good,0.000,2.69,0,0,0,0,4.25,2,0.0,,,
53,0.3160,-0.1158,-0.2170,2.951,good,0.000,2.95,0,0,0,0,13.13,2,0.0,,,
64,0.3160,-0.1072,0.1281,3.000,insect,1.000,4.21,1,1,1,0,9.06,1,3.1,48,42,
47,0.3200,-0.1153,0.0835,3.009,good,0.000,2.88,0,0,0,0,11.53,3,0.0,,,
48,0.3200,-0.1376,-0.0987,3.000,good,0.083,4.16,0,0,0,0,11.20,1,0.0,,,
49,0.3200,-0.1100,0.0559,2.970,good,0.024,2.81,0,0,0,0,10.70,3,0.0,,,
50,0.3200,-0.1087,-0.1311,2.905,black,1.000,47.58,1,1,1,0,11.84,3,3.2,15,58,58
60,0.3200,-0.1179,-0.0060,2.826,good,0.012,6.55,0,0,0,0,17.11,2,0.0,,,
61,0.3200,-0.1180,0.0454,3.005,good,0.000,2.10,0,0,0,0,12.56,2,0.0,,,
62,0.3200,-0.1163,-0.0878,3.037,good,0.003,3.17,0,0,0,0,11.22,2,0.0,,,
63,0.3200,-0.1253,-0.1064,3.000,good,0.056,3.91,0,0,0,0,11.10,1,0.0,,,
72,0.3200,-0.1130,-0.1142,3.000,good,0.080,3.95,0,0,0,0,11.00,1,0.0,,,
54,0.3240,-0.1119,-0.2338,3.001,good,0.000,7.29,0,0,0,0,10.63,3,0.0,,,
55,0.3240,-0.1133,0.2315,2.999,good,0.103,3.24,0,0,0,0,11.15,3,0.0,,,
56,0.3240,-0.1135,0.0400,3.017,good,0.000,3.07,0,0,0,0,10.78,3,0.0,,,
57,0.3240,-0.1138,0.1565,2.843,good,0.004,3.65,0,0,0,0,15.21,3,0.0,,,
58,0.3240,-0.1114,0.1297,2.998,good,0.000,2.74,0,0,0,0,10.50,3,0.0,,,
59,0.3240,-0.1101,-0.0989,3.084,good,0.001,2.91,0,0,0,0,8.14,3,0.0,,,
68,0.3240,-0.1195,0.0110,3.048,good,0.000,5.26,0,0,0,0,12.02,2,0.0,,,
70,0.3240,-0.1185,-0.0194,2.997,good,0.000,3.87,0,0,0,0,12.91,2,0.0,,,
71,0.3240,-0.1169,0.1642,3.000,good,0.000,2.19,0,0,0,0,12.31,2,0.0,,,
90,0.3240,-0.1026,-0.0029,3.000,good,0.000,1.96,0,0,0,0,7.53,1,0.0,,,
91,0.3240,-0.1007,-0.1220,3.000,good,0.037,3.99,0,0,0,0,6.90,1,0.0,,,
65,0.3280,-0.1149,0.0528,2.994,faded,1.000,4.53,1,1,1,0,11.77,3,3.2,38,109,109
66,0.3280,-0.1132,0.1674,2.995,good,0.002,2.46,0,0,0,0,11.17,3,0.0,,,
67,0.3280,-0.1130,0.0178,2.998,good,0.000,2.98,0,0,0,0,11.04,3,0.0,,,
69,0.3280,-0.1129,-0.1485,2.351,good,0.034,2.71,0,0,0,0,30.58,3,0.0,,,
79,0.3280,-0.1183,-0.1674,3.081,good,0.468,11.43,0,0,0,0,10.84,2,0.0,,,
85,0.3280,-0.1155,-0.0098,3.004,good,0.032,8.57,0,0,0,0,11.75,2,0.0,,,
86,0.3280,-0.1166,0.0742,3.013,good,0.003,6.25,0,0,0,0,11.90,2,0.0,,,
87,0.3280,-0.1149,-0.2065,3.170,good,0.000,4.02,0,0,0,0,7.79,2,0.0,,,
88,0.3280,-0.1159,0.0917,3.010,black,1.000,50.48,1,1,1,0,11.71,2,3.2,43,111,111
89,0.3280,-0.1157,0.0032,3.012,good,0.000,2.42,0,0,0,0,11.61,2,0.0,,,
73,0.3320,-0.1150,-0.0030,2.989,good,0.013,2.27,0,0,0,0,11.91,3,0.0,,,
74,0.3320,-0.1142,0.2150,2.802,good,0.044,4.09,0,0,0,0,16.45,3,0.0,,,
75,0.3320,-0.1126,-0.1899,2.986,good,0.023,2.47,0,0,0,0,11.22,3,0.0,,,
76,0.3320,-0.1131,-0.0519,3.011,good,0.001,3.50,0,0,0,0,10.78,3,0.0,,,
77,0.3320,-0.1111,-0.1416,3.000,good,0.000,3.54,0,0,0,0,10.38,3,0.0,,,
