tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
1,0.2920,-0.1197,0.0217,3.005,good,0.044,2.36,0,0,0,0,13.11,2,0.0,,,
2,0.2920,-0.1189,-0.0419,2.995,good,0.003,3.79,0,0,0,0,13.11,2,0.0,,,
0,0.2960,-0.1102,0.1076,3.044,good,0.043,4.18,0,0,0,0,9.05,3,0.0,,,
3,0.3000,-0.1110,0.2123,3.005,good,0.039,3.70,0,0,0,0,10.20,3,0.0,,,
4,0.3000,-0.1175,-0.1033,3.007,good,0.015,2.56,0,0,0,0,12.34,2,0.0,,,
6,0.3040,-0.1147,-0.2308,2.994,good,0.012,2.77,0,0,0,0,11.73,2,0.0,,,
5,0.3080,-0.1083,0.0027,2.992,good,0.007,6.69,0,0,0,0,9.62,3,0.0,,,
9,0.3080,-0.1153,-0.1030,3.009,insect,1.000,4.43,1,1,1,0,11.55,2,3.1,18|19,13,13
10,0.3080,-0.1162,0.2279,3.012,good,0.010,3.13,0,0,0,0,11.78,2,0.0,,,
7,0.3120,-0.1141,-0.1802,3.006,broken,0.999,3.52,1,1,1,0,11.24,3,2.4,8|9,15,
8,0.3120,-0.1129,-0.0180,2.973,good,0.108,5.99,0,0,0,0,11.61,3,0.0,,,
11,0.3120,-0.1189,0.1962,2.979,good,0.002,3.90,0,0,0,0,13.50,2,0.0,,,
12,0.3120,-0.1173,0.1405,2.990,good,0.008,2.85,0,0,0,0,12.67,2,0.0,,,
13,0.3120,-0.1178,-0.0357,3.003,broken,0.733,3.33,1,1,1,0,12.52,2,2.4,27,2,2
16,0.3160,-0.1196,-0.0454,2.997,good,0.017,4.15,0,0,0,0,13.27,2,0.0,,,
14,0.3200,-0.1119,0.1055,3.003,good,0.034,3.67,0,0,0,0,10.57,3,0.0,,,
15,0.3200,-0.1108,-0.1365,2.986,good,0.073,4.30,0,0,0,0,10.60,3,0.0,,,
20,0.3200,-0.1181,-0.2234,3.010,sour,1.000,20.36,1,1,1,0,12.45,2,3.2,3,29,29
21,0.3200,-0.1162,-0.1115,3.003,good,0.364,2.64,0,0,0,0,11.97,2,0.0,,,
22,0.3200,-0.1239,0.1837,3.000,good,0.000,7.00,0,0,0,0,10.65,1,0.0,,,
26,0.3200,-0.1138,0.1800,3.000,good,0.119,2.32,0,0,0,0,11.28,1,0.0,,,
27,0.3200,-0.1090,0.1871,3.000,good,0.471,2.84,0,0,0,0,9.65,1,0.0,,,
17,0.3240,-0.1104,-0.1579,3.003,good,0.078,4.52,0,0,0,0,10.06,3,0.0,,,
18,0.3240,-0.1095,0.1183,3.004,good,0.001,2.43,0,0,0,0,9.74,3,0.0,,,
19,0.3240,-0.1087,0.2154,3.009,good,0.003,5.31,0,0,0,0,9.35,3,0.0,,,
24,0.3240,-0.1196,-0.2033,3.100,good,0.104,4.58,0,0,0,0,10.83,2,0.0,,,
25,0.3240,-0.1166,0.1999,2.986,good,0.066,3.48,0,0,0,0,12.52,2,0.0,,,
23,0.3280,-0.1104,0.1844,2.980,good,0.201,2.74,0,0,0,0,10.59,3,0.0,,,
33,0.3280,-0.1199,0.0645,2.995,insect,1.000,4.34,1,1,1,0,13.42,2,3.1,40,42,42
28,0.3320,-0.1158,-0.1459,3.000,good,0.014,5.46,0,0,0,0,11.92,3,0.0,,,
29,0.3320,-0.1146,-0.2387,3.004,good,0.058,3.94,0,0,0,0,11.46,3,0.0,,,
30,0.3320,-0.1150,0.1525,2.944,good,0.002,3.27,0,0,0,0,13.00,3,0.0,,,
31,0.3320,-0.1116,0.0160,3.000,good,0.132,2.87,0,0,0,0,10.54,3,0.0,,,
32,0.3320,-0.1105,-0.0750,3.000,good,0.102,3.42,0,0,0,0,10.17,3,0.0,,,
