tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2840,-0.1197,0.0254,3.005,good,0.000,1.82,0,0,0,0,13.11,2,0.0,,,
2,0.2880,-0.1174,0.0147,3.229,good,0.000,2.06,0,0,0,0,7.33,2,0.0,,,
1,0.2920,-0.1106,-0.0325,2.998,good,0.000,2.53,0,0,0,0,10.25,3,0.0,,,
5,0.2920,-0.1193,0.0300,2.937,good,0.001,2.32,0,0,0,0,14.65,2,0.0,,,
6,0.2920,-0.1161,-0.0086,3.014,good,0.001,3.16,0,0,0,0,11.71,2,0.0,,,
3,0.2960,-0.1146,0.0098,3.000,good,0.000,2.83,0,0,0,0,11.52,3,0.0,,,
4,0.2960,-0.1114,-0.0184,3.002,good,0.001,2.19,0,0,0,0,10.41,3,0.0,,,
10,0.2960,-0.1197,0.0177,1.893,good,0.000,8.22,0,0,0,0,56.04,2,0.0,,,
11,0.2960,-0.1197,-0.0369,2.983,good,0.009,2.73,0,0,0,0,13.66,2,0.0,,,
12,0.2960,-0.1191,-0.0074,2.991,good,0.020,4.92,0,0,0,0,13.23,2,0.0,,,
16,0.2960,-0.1114,0.0201,3.000,good,0.000,3.13,0,0,0,0,10.45,1,0.0,,,
7,0.3000,-0.1152,-0.0033,3.000,good,0.000,6.18,0,0,0,0,11.72,3,0.0,,,
8,0.3000,-0.1109,-0.0252,2.998,good,0.000,1.77,0,0,0,0,10.34,3,0.0,,,
9,0.3000,-0.1096,0.0447,3.002,good,0.003,2.91,0,0,0,0,9.82,3,0.0,,,
14,0.3000,-0.1194,-0.0382,3.028,good,0.001,3.34,0,0,0,0,12.46,2,0.0,,,
15,0.3000,-0.1151,-0.0552,2.987,good,0.017,3.53,0,0,0,0,12.02,2,0.0,,,
13,0.3040,-0.1155,0.0081,3.000,good,0.000,2.54,0,0,0,0,11.85,3,0.0,,,
17,0.3080,-0.1102,-0.0207,2.990,good,0.000,2.89,0,0,0,0,10.29,3,0.0,,,
19,0.3080,-0.1175,0.0524,2.996,good,0.001,9.94,0,0,0,0,12.61,2,0.0,,,
21,0.3080,-0.1188,0.0048,3.005,good,0.003,4.70,0,0,0,0,12.81,2,0.0,,,
22,0.3080,-0.1188,-0.0217,3.003,good,0.000,4.03,0,0,0,0,12.87,2,0.0,,,
23,0.3080,-0.1147,0.0364,2.964,good,0.007,5.88,0,0,0,0,12.42,2,0.0,,,
18,0.3120,-0.1115,-0.0488,3.003,good,0.001,3.13,0,0,0,0,10.42,3,0.0,,,
20,0.3120,-0.1085,-0.0322,2.988,good,0.001,2.96,0,0,0,0,9.78,3,0.0,,,
28,0.3120,-0.1149,-0.0093,3.002,good,0.053,5.76,0,0,0,0,11.59,2,0.0,,,
24,0.3160,-0.1157,-0.0328,3.001,good,0.000,2.70,0,0,0,0,11.88,3,0.0,,,
25,0.3160,-0.1142,0.0482,3.001,good,0.000,3.83,0,0,0,0,11.38,3,0.0,,,
26,0.3160,-0.1137,-0.0420,3.001,good,0.000,2.57,0,0,0,0,11.22,3,0.0,,,
27,0.3160,-0.1096,0.0279,3.027,broken,1.000,2.70,1,1,1,0,9.26,3,2.4,35,15,15
31,0.3160,-0.1179,-0.0074,3.003,good,0.000,2.81,0,0,0,0,12.55,2,0.0,,,
29,0.3200,-0.1254,-0.0280,2.989,sour,1.000,18.88,1,1,1,0,11.42,2,3.2,28,,
30,0.3200,-0.1114,0.0083,3.000,good,0.023,3.62,0,0,0,0,10.45,3,0.0,,,
37,0.3200,-0.1190,0.0195,3.003,good,0.000,3.07,0,0,0,0,12.94,2,0.0,,,
44,0.3200,-0.1168,-0.0245,3.000,faded,0.861,14.59,1,1,1,0,12.25,1,3.2,28|29,29|62,29|62
32,0.3240,-0.1127,0.0433,3.000,good,0.061,3.48,0,0,0,0,10.92,3,0.0,,,
33,0.3240,-0.1098,0.0276,2.992,good,0.001,1.97,0,0,0,0,10.11,3,0.0,,,
34,0.3240,-0.1088,0.0560,3.013,broken,0.977,2.35,1,1,1,0,9.31,3,2.4,39|38,27,27
35,0.3240,-0.1091,-0.0465,3.000,good,0.000,4.47,0,0,0,0,9.71,3,0.0,,,
36,0.3240,-0.1321,-0.0215,3.000,good,0.020,3.07,0,0,0,0,9.37,1,0.0,,,
42,0.3240,-0.1168,-0.0131,3.054,good,0.008,7.19,0,0,0,0,11.00,2,0.0,,,
43,0.3240,-0.1160,0.0327,3.033,good,0.000,7.99,0,0,0,0,11.24,2,0.0,,,
38,0.3280,-0.1157,-0.0277,3.100,shell,1.000,5.75,1,1,1,0,9.59,3,2.4,28,56,
39,0.3280,-0.1146,-0.0417,2.994,good,0.000,2.67,0,0,0,0,11.65,3,0.0,,,
40,0.3280,-0.1155,0.0026,2.994,good,0.003,2.24,0,0,0,0,11.99,3,0.0,,,
41,0.3280,-0.1091,0.0501,3.001,good,0.001,1.76,0,0,0,0,9.67,3,0.0,,,
47,0.3280,-0.1186,-0.0492,3.071,good,0.001,3.46,0,0,0,0,11.17,2,0.0,,,
45,0.3320,-0.1153,-0.0701,2.972,faded,0.845,3.19,1,1,1,0,12.45,3,3.2,23|22,46,
46,0.3320,-0.1121,0.0408,3.002,sour,1.000,15.64,1,1,1,0,10.67,3,3.2,37,44,44
