tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2840,-0.1135,-0.1931,3.150,insect,1.000,5.11,1,1,1,0,7.79,3,3.1,7,6,6
3,0.2880,-0.1184,-0.0483,3.275,good,0.002,4.76,0,0,0,0,6.69,2,0.0,,,
4,0.2880,-0.1170,-0.0009,3.003,good,0.000,2.10,0,0,0,0,12.25,2,0.0,,,
5,0.2880,-0.1153,0.1236,3.450,good,0.018,2.51,0,0,0,0,2.41,2,0.0,,,
1,0.2920,-0.1123,0.0928,3.299,good,0.000,8.59,0,0,0,0,4.35,3,0.0,,,
2,0.2920,-0.1127,0.1612,3.000,good,0.000,2.40,0,0,0,0,10.91,3,0.0,,,
9,0.2920,-0.1185,0.2306,2.994,good,0.000,3.39,0,0,0,0,12.98,2,0.0,,,
10,0.2920,-0.1168,-0.0831,2.997,good,0.000,2.24,0,0,0,0,12.34,2,0.0,,,
6,0.2960,-0.1147,-0.1981,3.000,good,0.000,2.08,0,0,0,0,11.56,3,0.0,,,
7,0.2960,-0.1102,-0.1588,3.024,black,1.000,50.45,1,1,1,0,9.51,3,3.2,11,30,30
8,0.2960,-0.1101,0.0834,2.984,good,0.000,2.76,0,0,0,0,10.40,3,0.0,,,
17,0.2960,-0.1185,-0.0021,2.946,good,0.000,4.71,0,0,0,0,14.18,2,0.0,,,
19,0.2960,-0.1177,0.0411,3.014,broken,0.977,2.86,1,1,1,0,12.23,2,2.4,37,10,10
11,0.3000,-0.1127,-0.0186,3.060,good,0.001,5.84,0,0,0,0,9.50,3,0.0,,,
12,0.3000,-0.1134,0.0259,3.002,good,0.001,2.65,0,0,0,0,11.10,3,0.0,,,
13,0.3000,-0.1125,-0.1246,2.996,sour,1.000,16.66,1,1,1,0,10.94,3,3.2,16|15,5,5
14,0.3000,-0.1368,0.1104,3.000,good,0.001,4.36,0,0,0,0,10.93,1,0.0,,,
15,0.3000,-0.1242,-0.2397,2.459,good,0.009,3.71,0,0,0,0,27.16,2,0.0,,,
16,0.3000,-0.1080,-0.0407,3.001,good,0.000,2.35,0,0,0,0,9.31,3,0.0,,,
18,0.3000,-0.1080,0.0674,3.005,good,0.000,2.74,0,0,0,0,9.22,3,0.0,,,
25,0.3000,-0.1150,0.1145,3.000,good,0.005,10.24,0,0,0,0,11.68,2,0.0,,,
31,0.3000,-0.1143,-0.2356,3.000,good,0.001,3.62,0,0,0,0,11.44,1,0.0,,,
20,0.3040,-0.1170,-0.1142,2.784,good,0.000,1.99,0,0,0,0,17.96,3,0.0,,,
22,0.3040,-0.1108,0.2029,2.940,good,0.005,2.94,0,0,0,0,11.69,3,0.0,,,
23,0.3040,-0.1094,-0.0807,3.001,good,0.001,2.15,0,0,0,0,9.77,3,0.0,,,
24,0.3040,-0.1094,-0.0003,2.859,good,0.000,2.39,0,0,0,0,13.23,3,0.0,,,
28,0.3040,-0.1194,-0.1537,3.363,good,0.002,4.12,0,0,0,0,5.25,2,0.0,,,
30,0.3040,-0.1184,0.1552,3.002,good,0.001,2.92,0,0,0,0,12.78,2,0.0,,,
21,0.3080,-0.1221,0.1047,2.188,good,0.003,3.30,0,0,0,0,37.51,3,0.0,,,
26,0.3080,-0.1142,0.0551,3.014,good,0.000,2.92,0,0,0,0,11.08,3,0.0,,,
27,0.3080,-0.1091,0.1353,3.079,good,0.000,3.03,0,0,0,0,7.92,3,0.0,,,
29,0.3080,-0.1097,-0.0797,2.886,good,0.008,3.07,0,0,0,0,12.68,3,0.0,,,
36,0.3080,-0.1195,-0.0231,3.032,good,0.000,2.55,0,0,0,0,12.39,2,0.0,,,
37,0.3080,-0.1179,-0.2086,2.996,good,0.001,4.00,0,0,0,0,12.73,2,0.0,,,
38,0.3080,-0.1172,0.0212,3.001,black,1.000,64.51,1,1,1,0,12.37,2,3.2,34,77,77
47,0.3080,-0.1133,0.1076,3.000,good,0.003,3.21,0,0,0,0,11.12,1,0.0,,,
32,0.3120,-0.1116,-0.0407,2.997,good,0.000,6.20,0,0,0,0,10.60,3,0.0,,,
33,0.3120,-0.1113,-0.2289,3.009,good,0.000,2.19,0,0,0,0,10.23,3,0.0,,,
34,0.3120,-0.1098,-0.0778,3.053,good,0.000,3.35,0,0,0,0,8.69,3,0.0,,,
35,0.3120,-0.1085,-0.0654,3.004,good,0.000,1.92,0,0,0,0,9.43,3,0.0,,,
45,0.3120,-0.1194,-0.2217,3.181,good,0.084,4.40,0,0,0,0,8.98,2,0.0,,,
58,0.3120,-0.1191,0.0658,3.000,husk,1.000,15.76,1,1,1,0,13.03,1,2.4,40,41,
39,0.3160,-0.1128,-0.0732,3.219,good,0.058,3.01,0,0,0,0,6.11,3,0.0,,,
40,0.3160,-0.1150,0.0116,2.891,good,0.015,7.45,0,0,0,0,14.36,3,0.0,,,
41,0.3160,-0.1388,0.1542,3.000,good,0.001,1.78,0,0,0,0,11.59,1,0.0,,,
42,0.3160,-0.1358,0.0727,3.000,good,0.002,10.00,0,0,0,0,10.60,1,0.0,,,
43,0.3160,-0.1113,0.2318,2.987,faded,0.976,3.94,1,1,1,0,10.74,3,3.2,61,44,44
44,0.3160,-0.1084,0.0319,3.062,good,0.000,2.88,0,0,0,0,8.06,3,0.0,,,
46,0.3160,-0.1092,-0.0418,2.875,good,0.043,6.77,0,0,0,0,12.75,3,0.0,,,
52,0.3160,-0.1198,-0.1240,3.006,good,0.000,1.54,0,0,0,0,13.13,2,0.0,,,
53,0.3160,-0.1170,0.1669,2.985,good,0.000,2.29,0,0,0,0,12.69,2,0.0,,,
54,0.3160,-0.1166,-0.1840,3.002,broken,1.000,1.90,1,1,1,0,12.15,2,2.4,8,99,99
55,0.3160,-0.1144,0.2150,2.999,good,0.135,8.71,0,0,0,0,11.49,2,0.0,,,
56,0.3160,-0.1123,0.0760,3.026,good,0.000,6.30,0,0,0,0,10.15,2,0.0,,,
57,0.3160,-0.1220,0.1516,3.000,good,0.001,1.64,0,0,0,0,9.99,1,0.0,,,
65,0.3160,-0.1051,0.1491,3.000,good,0.012,2.45,0,0,0,0,8.38,1,0.0,,,
66,0.3160,-0.1034,0.0631,3.000,husk,1.000,15.30,1,1,1,0,7.81,1,2.4,40|39,41,
48,0.3200,-0.1138,-0.0951,3.003,good,0.001,2.51,0,0,0,0,11.20,3,0.0,,,
49,0.3200,-0.1128,-0.1693,2.995,good,0.000,2.72,0,0,0,0,11.06,3,0.0,,,
50,0.3200,-0.1126,0.1568,3.006,good,0.000,3.62,0,0,0,0,10.73,3,0.0,,,
51,0.3200,-0.1116,-0.0615,2.671,good,0.000,1.92,0,0,0,0,19.20,3,0.0,,,
63,0.3200,-0.1179,-0.1525,2.737,good,0.436,6.40,0,0,0,0,19.60,2,0.0,,,
64,0.3200,-0.1184,0.1363,3.000,faded,0.998,4.60,1,1,1,0,12.79,2,3.2,49,40,
59,0.3240,-0.1160,-0.0262,3.006,good,0.004,2.87,0,0,0,0,11.84,3,0.0,,,
60,0.3240,-0.1155,0.0004,3.008,good,0.016,3.84,0,0,0,0,11.64,3,0.0,,,
61,0.3240,-0.1123,0.0831,2.997,good,0.067,2.88,0,0,0,0,10.83,3,0.0,,,
62,0.3240,-0.1089,-0.1945,3.012,good,0.008,2.47,0,0,0,0,9.36,3,0.0,,,
74,0.3240,-0.1195,-0.0379,3.066,black,1.000,49.88,1,1,1,0,11.59,2,3.2,27|26,83,83
75,0.3240,-0.1183,-0.2443,3.020,good,0.015,3.54,0,0,0,0,12.28,2,0.0,,,
67,0.3280,-0.1103,0.0432,3.450,good,0.000,3.19,0,0,0,0,0.97,3,0.0,,,
68,0.3280,-0.1153,-0.0283,3.002,sour,1.000,16.57,1,1,1,0,11.74,3,3.2,28,111,111
69,0.3280,-0.1143,0.1062,3.000,good,0.039,2.77,0,0,0,0,11.42,3,0.0,,,
70,0.3280,-0.1121,-0.0525,3.000,good,0.003,1.86,0,0,0,0,10.71,3,0.0,,,
71,0.3280,-0.1124,-0.1879,2.997,good,0.008,3.16,0,0,0,0,10.87,3,0.0,,,
72,0.3280,-0.1118,-0.0883,2.989,good,0.001,4.75,0,0,0,0,10.85,3,0.0,,,
73,0.3280,-0.1100,-0.0082,3.010,good,0.001,3.34,0,0,0,0,9.77,3,0.0,,,
86,0.3280,-0.1199,0.0249,2.999,good,0.003,2.47,0,0,0,0,13.34,2,0.0,,,
95,0.3280,-0.1169,-0.2452,3.000,good,0.005,3.64,0,0,0,0,12.31,1,0.0,,,
76,0.3320,-0.1148,0.1143,3.007,good,0.000,2.02,0,0,0,0,11.45,3,0.0,,,
77,0.3320,-0.1128,0.2293,3.368,good,0.003,2.73,0,0,0,0,3.18,3,0.0,,,
78,0.3320,-0.1148,-0.2246,2.999,shell,1.000,7.56,1,1,1,0,11.62,3,2.4,3,68,68
79,0.3320,-0.1134,-0.0605,3.130,faded,0.998,4.53,1,1,1,0,8.16,3,3.2,24,59,59
80,0.3320,-0.1116,-0.1069,2.991,good,0.036,2.64,0,0,0,0,10.75,3,0.0,,,
81,0.3320,-0.1114,0.1545,2.999,good,0.000,1.71,0,0,0,0,10.49,3,0.0,,,
82,0.3320,-0.1116,-0.1555,2.928,good,0.003,5.65,0,0,0,0,12.27,3,0.0,,,
83,0.3320,-0.1103,-0.1288,3.006,good,0.000,2.40,0,0,0,0,9.96,3,0.0,,,
84,0.3320,-0.1070,0.0677,3.401,good,0.000,2.69,0,0,0,0,0.87,3,0.0,,,
85,0.3320,-0.1081,-0.0912,3.002,faded,1.000,6.30,1,1,1,0,9.32,3,3.2,20,78,78
92,0.3320,-0.1196,0.0178,3.319,faded,0.820,5.96,1,1,1,0,6.16,2,3.1,34,56|167,
93,0.3320,-0.1194,-0.1824,2.999,good,0.034,2.35,0,0,0,0,13.14,2,0.0,,,
