tid,t,x,y,v,cls,p_reject,anomaly,reject,scheduled,activated,late,headroom_ms,n_obs,pulse_ms,nozzles,target_uids,own_hit_uids
0,0.2800,-0.1189,-0.1745,3.450,insect,1.000,4.98,1,1,1,0,3.44,2,3.1,9,6,
4,0.2840,-0.1045,-0.1700,3.000,insect,1.000,3.26,1,1,1,0,8.16,1,3.1,10,6,
3,0.2880,-0.1173,0.0577,3.225,good,0.000,3.20,0,0,0,0,7.39,2,0.0,,,
1,0.2920,-0.1248,0.2404,3.450,good,0.049,3.56,0,0,0,0,1.15,2,0.0,,,
2,0.2920,-0.1135,0.1528,2.999,good,0.000,2.28,0,0,0,0,11.20,3,0.0,,,
8,0.2920,-0.1189,0.0006,3.102,good,0.001,4.40,0,0,0,0,10.56,2,0.0,,,
10,0.2920,-0.1183,-0.2014,3.284,shell,0.996,28.83,1,1,1,0,6.48,2,2.4,6,20,
21,0.2920,-0.1101,0.2450,3.000,good,0.006,3.78,0,0,0,0,10.02,1,0.0,,,
5,0.2960,-0.1158,0.0879,2.996,good,0.000,2.74,0,0,0,0,12.05,3,0.0,,,
6,0.2960,-0.1151,-0.1553,2.999,black,1.000,50.33,1,1,1,0,11.71,3,3.2,12|11,30,
7,0.2960,-0.1108,-0.0460,2.998,good,0.089,5.27,0,0,0,0,10.31,3,0.0,,,
9,0.2960,-0.1088,-0.0732,3.000,good,0.000,2.36,0,0,0,0,9.60,3,0.0,,,
19,0.2960,-0.1165,0.0718,3.036,good,0.002,1.97,0,0,0,0,11.30,2,0.0,,,
20,0.2960,-0.1119,0.1525,3.450,good,0.000,3.43,0,0,0,0,1.43,2,0.0,,,
26,0.2960,-0.1051,-0.2062,3.000,shell,1.000,26.58,1,1,1,0,8.38,1,2.4,5,20,
11,0.3000,-0.1130,-0.1239,3.005,sour,1.000,17.28,1,1,1,0,10.90,3,3.2,16|15,5,5
12,0.3000,-0.1135,0.0257,2.999,good,0.000,2.72,0,0,0,0,11.19,3,0.0,,,
13,0.3000,-0.1147,-0.1741,2.818,good,0.000,2.16,0,0,0,0,16.19,3,0.0,,,
14,0.3000,-0.1251,-0.1107,2.998,good,0.001,2.09,0,0,0,0,11.06,2,0.0,,,
15,0.3000,-0.1112,-0.0409,3.022,good,0.000,3.01,0,0,0,0,9.88,3,0.0,,,
16,0.3000,-0.1088,0.0351,3.002,broken,0.996,2.94,1,1,1,0,9.57,3,2.4,36,10,10
17,0.3000,-0.1085,-0.2379,2.997,good,0.006,3.42,0,0,0,0,9.57,3,0.0,,,
18,0.3000,-0.1100,-0.0928,2.796,good,0.024,2.47,0,0,0,0,15.12,3,0.0,,,
23,0.3000,-0.1185,0.2151,3.003,good,0.001,3.07,0,0,0,0,12.74,2,0.0,,,
24,0.3000,-0.1164,-0.0238,3.005,good,0.019,3.71,0,0,0,0,12.00,2,0.0,,,
25,0.3000,-0.1161,0.1175,3.000,good,0.000,2.48,0,0,0,0,12.04,2,0.0,,,
37,0.3000,-0.1139,-0.1077,3.000,good,0.000,1.55,0,0,0,0,11.31,1,0.0,,,
22,0.3040,-0.1173,-0.0140,2.618,good,0.002,7.52,0,0,0,0,23.00,3,0.0,,,
33,0.3040,-0.1196,0.0795,3.004,good,0.000,4.11,0,0,0,0,13.08,2,0.0,,,
35,0.3040,-0.1191,0.2376,2.995,good,0.079,2.29,0,0,0,0,13.15,2,0.0,,,
36,0.3040,-0.1113,-0.0768,3.008,good,0.000,1.76,0,0,0,0,10.24,2,0.0,,,
44,0.3040,-0.1034,-0.1707,3.000,good,0.000,1.98,0,0,0,0,7.81,1,0.0,,,
45,0.3040,-0.1028,-0.1046,3.000,good,0.000,1.65,0,0,0,0,7.60,1,0.0,,,
27,0.3080,-0.1130,-0.2326,3.308,good,0.000,1.93,0,0,0,0,4.41,3,0.0,,,
28,0.3080,-0.1159,0.0473,2.981,good,0.000,3.20,0,0,0,0,12.44,3,0.0,,,
29,0.3080,-0.1085,0.0597,3.003,good,0.000,8.25,0,0,0,0,9.44,3,0.0,,,
30,0.3080,-0.1084,0.1055,3.009,good,0.000,2.83,0,0,0,0,9.25,3,0.0,,,
31,0.3080,-0.1085,0.1270,3.003,good,0.000,2.50,0,0,0,0,9.44,3,0.0,,,
