time_s,state,target_id,ee_x_m,ee_y_m,ee_z_m,target_error_m,q_1_rad,q_2_rad,q_3_rad,q_4_rad,q_5_rad,q_6_rad
0.0,idle,,-0.10812019549473453,0.4703539900149672,0.47158932478917637,0.7776121872503301,-1.61268,-1.61268,1.63364,-1.50796,-1.63364,-0.04086082329377185
0.1,idle,,-0.01305902803736464,0.33997427761278753,0.39582772209531303,0.6197193900621021,-1.8220800000000004,-1.8220800000000001,1.947839999999999,-1.1937599999999997,-1.9478399999999991,-0.19421141653562932
0.2,idle,,0.04020671916156178,0.2667786062849945,0.47267474373993945,0.528472919081063,-2.0314799999999993,-2.031479999999999,1.9090002414268938,-1.0315122801712966,-2.110822678226019,-0.3834451775512615
0.3,idle,,0.07564844816825356,0.21160313163544234,0.45840090824307733,0.4644836683385707,-2.2408799999999998,-2.2408799999999993,2.1035820041066566,-1.2979371136082178,-2.237940561393804,-0.6431424005246565
0.4,idle,,0.1360750836671166,0.2114485180347152,0.45866098254514465,0.4215311970890203,-2.4502800000000002,-2.2126272485230483,2.1298203299101046,-1.531034922475381,-2.1877158223397095,-0.8363857639925227
0.5,idle,,0.2408617988647398,0.2099841837701975,0.43831287480784226,0.35821401171493794,-2.6596799999999994,-2.0106105649008645,2.0871916136426636,-1.6580833005722637,-2.2088620290815246,-1.0250585818896654
0.6,idle,,0.327847476729974,0.17869483434504868,0.4594942002898484,0.293688675428234,-2.86908,-1.8801934414430086,1.9418843007261515,-1.6558846084944179,-2.096015896931974,-1.2619310752138646
0.7,idle,,0.39845723352960316,0.11442729485044978,0.44808676350943333,0.2155152338883463,-3.07848,-1.7738906395748995,1.8836238258752571,-1.691359227120205,-2.036795043815062,-1.4736892492609825
0.8,idle,,0.43404835091865085,0.039700849965251375,0.45254871809903097,0.14042855695511353,-3.2878799999999995,-1.7315874298089982,1.8248618881363075,-1.6786302412052554,-1.8907645150119585,-1.7057171162941203
0.9,idle,,0.439978645236898,-0.037592797649863924,0.45140848137261236,0.06554226873132829,-3.497279999999999,-1.7262928715921673,1.8120166170831917,-1.6645543283938717,-1.7317291253263818,-1.9222862332089228
1.0,idle,,0.4200388887786869,-0.09982726443451842,0.45011082833699273,0.00020888473608804924,-3.6903090150682285,-1.7612161938838438,1.8384907431716213,-1.648612896460767,-1.571626121906362,-2.1187842532159786
1.1,idle,,0.42000635725435487,-0.09999141808818686,0.4500008101483153,1.0710753175852211e-05,-3.6908872474185093,-1.7611199980126584,1.8385554151073078,-1.6482254283051152,-1.5708229225842518,-2.1200379195301644
1.2,idle,,0.4200063572502849,-0.09999141809462105,0.45000081015355997,1.0710746001525984e-05,-3.690887247451125,-1.7611199980128445,1.8385554150806847,-1.6482254282261288,-1.5708229225265147,-2.1200379196242625
1.3,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535602,1.0710746000136352e-05,-3.690887247451128,-1.7611199980128454,1.8385554150806855,-1.6482254282261284,-1.5708229225265147,-2.120037919624266
1.4,idle,,0.42000635725028423,-0.09999141809462228,0.4500008101535603,1.0710746000166167e-05,-3.690887247451128,-1.7611199980128454,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.120037919624266
1.5,idle,,0.4200063572502843,-0.09999141809462207,0.4500008101535602,1.071074600035751e-05,-3.6908872474511276,-1.7611199980128454,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
1.6,idle,,0.420006357250284,-0.09999141809462234,0.45000081015355986,1.0710745999956306e-05,-3.6908872474511285,-1.7611199980128458,1.8385554150806864,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
1.7,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
1.8,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
1.9,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
2.0,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
2.1,idle,,0.42000635725028423,-0.09999141809462227,0.4500008101535601,1.0710746000160492e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806862,-1.6482254282261295,-1.570822922526515,-2.1200379196242656
2.2,idle,,0.4200063572502842,-0.09999141809462234,0.4500008101535603,1.0710746000088742e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.1200379196242656
2.3,idle,,0.4200063572502841,-0.09999141809462238,0.4500008101535602,1.0710746000014037e-05,-3.6908872474511285,-1.7611199980128456,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242665
