model,case,latency_s,cost_usd,finish_reason,validated_recipe,prompt_tokens,completion_tokens
flash-lite,earring,2.00577704096213,0.0002655,stop,True,475,545
flash-lite,logo,2.5407914160750806,0.0004189,stop,True,497,923
flash-lite,star,1.6184915418270975,0.0001916,stop,True,472,361
deepseek,earring,42.73205375019461,0.0105165,stop,True,503,8638
deepseek,logo,43.609958625165746,0.012082236,length,False,525,10000
deepseek,star,24.7879025421571,0.006599736,stop,True,498,5438
glm,earring,5.949758500093594,0.0118503,stop,True,462,2706
glm,logo,8.175144624896348,0.0070539,stop,True,486,1558
glm,star,3.0558990829158574,0.00216195,stop,True,459,400
qwen,earring,185.76247587497346,0.05673,stop,True,510,9285
qwen,logo,78.63345466693863,0.023772,stop,True,534,3784
qwen,star,49.69896779186092,0.015194,stop,False,508,2363
gemini,earring,8.168534124968573,0.00598725,stop,True,968,1403
gemini,logo,7.410158999962732,0.00582375,stop,True,990,1355
gemini,star,7.875764959026128,0.0045075,stop,True,965,1009
deepseek-repair,logo,20.253612041007727,0.007371372,stop,True,525,6137
